縣市,111Q1宅數
全國,74927
新北市,15764
臺北市,3753
桃園市,11932
臺中市,10951
臺南市,6394
高雄市,7381
宜蘭縣,2426
新竹縣,3692
苗栗縣,1594
彰化縣,2774
南投縣,802
雲林縣,1242
嘉義縣,541
屏東縣,1169
臺東縣,198
花蓮縣,498
澎湖縣,132
基隆市,1441
新竹市,1401
嘉義市,483
金門縣,352
連江縣,7
