縣市,113Q1宅數
全國,107667
新北市,21557
臺北市,4192
桃園市,17955
臺中市,16733
臺南市,10781
高雄市,13010
宜蘭縣,2563
新竹縣,5155
苗栗縣,2177
彰化縣,3246
南投縣,822
雲林縣,1619
嘉義縣,878
屏東縣,1936
臺東縣,225
花蓮縣,565
澎湖縣,65
基隆市,1288
新竹市,1843
嘉義市,815
金門縣,235
連江縣,7
