縣市,112Q3宅數
全國,95701
新北市,18448
臺北市,3721
桃園市,16801
臺中市,15114
臺南市,8417
高雄市,11595
宜蘭縣,2389
新竹縣,4687
苗栗縣,1871
彰化縣,2924
南投縣,888
雲林縣,1712
嘉義縣,808
屏東縣,1667
臺東縣,176
花蓮縣,526
澎湖縣,62
基隆市,1429
新竹市,1517
嘉義市,687
金門縣,255
連江縣,7
