縣市,113Q2宅數
全國,103130
新北市,20452
臺北市,3875
桃園市,17796
臺中市,15925
臺南市,10212
高雄市,12165
宜蘭縣,2338
新竹縣,4896
苗栗縣,2039
彰化縣,3262
南投縣,779
雲林縣,1510
嘉義縣,801
屏東縣,1801
臺東縣,229
花蓮縣,662
澎湖縣,63
基隆市,1399
新竹市,1796
嘉義市,868
金門縣,255
連江縣,7
