縣市,110Q1宅數
全國,73679
新北市,15241
臺北市,4114
桃園市,10214
臺中市,10120
臺南市,5674
高雄市,9394
宜蘭縣,2024
新竹縣,3333
苗栗縣,2085
彰化縣,2549
南投縣,795
雲林縣,1262
嘉義縣,500
屏東縣,1059
臺東縣,176
花蓮縣,646
澎湖縣,123
基隆市,1917
新竹市,1443
嘉義市,504
金門縣,498
連江縣,8
