縣市,112Q4宅數
全國,101011
新北市,20367
臺北市,3782
桃園市,17246
臺中市,15771
臺南市,9548
高雄市,12233
宜蘭縣,2433
新竹縣,4772
苗栗縣,1904
彰化縣,3090
南投縣,880
雲林縣,1659
嘉義縣,812
屏東縣,1698
臺東縣,188
花蓮縣,550
澎湖縣,62
基隆市,1417
新竹市,1608
嘉義市,735
金門縣,249
連江縣,7
