縣市,110Q4宅數
全國,69721
新北市,15038
臺北市,3649
桃園市,9820
臺中市,9997
臺南市,5937
高雄市,7917
宜蘭縣,2300
新竹縣,3333
苗栗縣,1611
彰化縣,2509
南投縣,738
雲林縣,1204
嘉義縣,550
屏東縣,1091
臺東縣,193
花蓮縣,450
澎湖縣,132
基隆市,898
新竹市,1435
嘉義市,512
金門縣,400
連江縣,7
