縣市,110Q3宅數
全國,69877
新北市,15568
臺北市,3681
桃園市,9442
臺中市,9541
臺南市,5647
高雄市,8428
宜蘭縣,2285
新竹縣,3209
苗栗縣,1709
彰化縣,2486
南投縣,767
雲林縣,1299
嘉義縣,533
屏東縣,1107
臺東縣,189
花蓮縣,465
澎湖縣,124
基隆市,943
新竹市,1523
嘉義市,514
金門縣,410
連江縣,7
