縣市,110Q2宅數
全國,70049
新北市,15240
臺北市,3846
桃園市,9334
臺中市,9681
臺南市,5615
高雄市,8484
宜蘭縣,2235
新竹縣,3201
苗栗縣,1956
彰化縣,2481
南投縣,753
雲林縣,1254
嘉義縣,502
屏東縣,1068
臺東縣,188
花蓮縣,485
澎湖縣,124
基隆市,1018
新竹市,1616
嘉義市,517
金門縣,443
連江縣,8
