縣市,109Q2宅數
全國,76333
新北市,16820
臺北市,4691
桃園市,11373
臺中市,9462
臺南市,5702
高雄市,8593
宜蘭縣,2275
新竹縣,3401
苗栗縣,2396
彰化縣,2564
南投縣,783
雲林縣,1176
嘉義縣,510
屏東縣,1021
臺東縣,169
花蓮縣,636
澎湖縣,128
基隆市,1964
新竹市,1700
嘉義市,471
金門縣,498
連江縣,0
