縣市,111Q3宅數
全國,80109
新北市,16622
臺北市,3754
桃園市,13229
臺中市,11801
臺南市,6999
高雄市,8253
宜蘭縣,2399
新竹縣,3802
苗栗縣,1690
彰化縣,2905
南投縣,850
雲林縣,1408
嘉義縣,597
屏東縣,1317
臺東縣,204
花蓮縣,468
澎湖縣,128
基隆市,1379
新竹市,1447
嘉義市,531
金門縣,319
連江縣,7
