縣市,112Q2宅數
全國,90462
新北市,18241
臺北市,3715
桃園市,14934
臺中市,14583
臺南市,7883
高雄市,9755
宜蘭縣,2495
新竹縣,4655
苗栗縣,1713
彰化縣,2981
南投縣,875
雲林縣,1632
嘉義縣,788
屏東縣,1628
臺東縣,172
花蓮縣,510
澎湖縣,62
基隆市,1362
新竹市,1507
嘉義市,706
金門縣,258
連江縣,7
