縣市,111Q4宅數
全國,82307
新北市,16623
臺北市,3752
桃園市,13625
臺中市,13128
臺南市,7056
高雄市,8486
宜蘭縣,2416
新竹縣,4227
苗栗縣,1573
彰化縣,2801
南投縣,818
雲林縣,1499
嘉義縣,606
屏東縣,1467
臺東縣,183
花蓮縣,485
澎湖縣,60
基隆市,1294
新竹市,1426
嘉義市,541
金門縣,234
連江縣,7
