縣市,112Q1宅數
全國,87957
新北市,17498
臺北市,3699
桃園市,14435
臺中市,14087
臺南市,7597
高雄市,9429
宜蘭縣,2458
新竹縣,4698
苗栗縣,1749
彰化縣,2926
南投縣,866
雲林縣,1646
嘉義縣,736
屏東縣,1570
臺東縣,183
花蓮縣,537
澎湖縣,75
基隆市,1408
新竹市,1459
嘉義市,648
金門縣,246
連江縣,7
