縣市,109Q1宅數
全國,77374
新北市,17517
臺北市,4802
桃園市,11777
臺中市,9524
臺南市,5444
高雄市,8687
宜蘭縣,2327
新竹縣,2847
苗栗縣,2587
彰化縣,2677
南投縣,814
雲林縣,1199
嘉義縣,485
屏東縣,1067
臺東縣,172
花蓮縣,603
澎湖縣,123
基隆市,2088
新竹市,1751
嘉義市,362
金門縣,521
連江縣,0
