縣市,109Q4宅數
全國,68472
新北市,14732
臺北市,4251
桃園市,8592
臺中市,9504
臺南市,5083
高雄市,8091
宜蘭縣,2037
新竹縣,3014
苗栗縣,2231
彰化縣,2313
南投縣,791
雲林縣,1225
嘉義縣,455
屏東縣,932
臺東縣,173
花蓮縣,562
澎湖縣,124
基隆市,1995
新竹市,1432
嘉義市,469
金門縣,458
連江縣,8
