縣市,111Q2宅數
全國,77454
新北市,16272
臺北市,3912
桃園市,12650
臺中市,11502
臺南市,6605
高雄市,7489
宜蘭縣,2377
新竹縣,3665
苗栗縣,1572
彰化縣,2837
南投縣,864
雲林縣,1447
嘉義縣,564
屏東縣,1180
臺東縣,196
花蓮縣,459
澎湖縣,131
基隆市,1380
新竹市,1482
嘉義市,518
金門縣,345
連江縣,7
