縣市,109Q3宅數
全國,71825
新北市,15394
臺北市,4322
桃園市,10424
臺中市,8904
臺南市,5481
高雄市,8299
宜蘭縣,2199
新竹縣,3242
苗栗縣,2300
彰化縣,2517
南投縣,781
雲林縣,1232
嘉義縣,479
屏東縣,952
臺東縣,169
花蓮縣,590
澎湖縣,122
基隆市,1926
新竹市,1580
嘉義市,450
金門縣,462
連江縣,0
