縣市,鄉鎮市區,110Q2宅數
桃園市,全區,9334
桃園市,桃園區,2124
桃園市,中壢區,1954
桃園市,平鎮區,653
桃園市,八德區,597
桃園市,楊梅區,732
桃園市,大溪區,207
桃園市,蘆竹區,129
桃園市,大園區,274
桃園市,龜山區,1545
桃園市,龍潭區,640
桃園市,新屋區,62
桃園市,觀音區,417
桃園市,復興區,0
