縣市,鄉鎮市區,村里,103年第一季宅數
臺中市,中區,繼光里,0
臺中市,中區,大墩里,0
臺中市,中區,綠川里,0
臺中市,中區,公園里,3
臺中市,中區,光復里,1
臺中市,中區,柳川里,0
臺中市,中區,大誠里,0
臺中市,中區,中華里,0
臺中市,東區,新庄里,0
臺中市,東區,振興里,0
臺中市,東區,東橋里,0
臺中市,東區,東興里,0
臺中市,東區,干城里,31
臺中市,東區,泉源里,0
臺中市,東區,旱溪里,0
臺中市,東區,樂成里,2
臺中市,東區,東門里,12
臺中市,東區,十甲里,5
臺中市,東區,東南里,0
臺中市,東區,東勢里,17
臺中市,東區,合作里,0
臺中市,東區,富台里,0
臺中市,東區,富仁里,0
臺中市,東區,東信里,5
臺中市,東區,東英里,6
臺中市,南區,城隍里,5
臺中市,南區,國光里,1
臺中市,南區,南門里,0
臺中市,南區,德義里,3
臺中市,南區,積善里,0
臺中市,南區,江川里,0
臺中市,南區,新榮里,0
臺中市,南區,福興里,0
臺中市,南區,福平里,1
臺中市,南區,和平里,8
臺中市,南區,永興里,4
臺中市,南區,樹義里,6
臺中市,南區,樹德里,184
臺中市,南區,西川里,0
臺中市,南區,長春里,0
臺中市,南區,長榮里,0
臺中市,南區,福順里,10
臺中市,南區,平和里,4
臺中市,南區,南和里,57
臺中市,南區,永和里,2
臺中市,南區,工學里,2
臺中市,南區,崇倫里,0
臺中市,西區,民生里,0
臺中市,西區,利民里,1
臺中市,西區,三民里,0
臺中市,西區,東昇里,1
臺中市,西區,廣民里,1
臺中市,西區,平和里,0
臺中市,西區,公民里,0
臺中市,西區,藍興里,25
臺中市,西區,公?里,0
臺中市,西區,和龍里,1
臺中市,西區,民龍里,1
臺中市,西區,後龍里,0
臺中市,西區,安龍里,20
臺中市,西區,吉龍里,0
臺中市,西區,昇平里,15
臺中市,西區,忠明里,18
臺中市,西區,公正里,0
臺中市,西區,土庫里,1
臺中市,西區,忠誠里,3
臺中市,西區,公益里,0
臺中市,西區,中興里,0
臺中市,西區,公平里,0
臺中市,西區,公德里,8
臺中市,西區,?龍里,0
臺中市,西區,大忠里,0
臺中市,北區,光大里,0
臺中市,北區,文莊里,1
臺中市,北區,五常里,0
臺中市,北區,新興里,0
臺中市,北區,新北里,0
臺中市,北區,樂英里,0
臺中市,北區,錦村里,0
臺中市,北區,建成里,14
臺中市,北區,錦洲里,0
臺中市,北區,金華里,0
臺中市,北區,金龍里,2
臺中市,北區,邱厝里,0
臺中市,北區,建興里,0
臺中市,北區,頂厝里,2
臺中市,北區,賴厝里,0
臺中市,北區,賴村里,44
臺中市,北區,育德里,1
臺中市,北區,淡溝里,3
臺中市,北區,中達里,0
臺中市,北區,錦祥里,1
臺中市,北區,健行里,10
臺中市,北區,明德里,2
臺中市,北區,長青里,1
臺中市,北區,賴明里,0
臺中市,北區,賴興里,1
臺中市,北區,中正里,0
臺中市,北區,六合里,0
臺中市,北區,大湖里,0
臺中市,北區,錦平里,4
臺中市,北區,建德里,0
臺中市,北區,崇德里,0
臺中市,北區,賴旺里,0
臺中市,北區,明新里,0
臺中市,北區,立人里,2
臺中市,北區,梅川里,0
臺中市,北區,賴福里,0
臺中市,西屯區,西安里,15
臺中市,西屯區,西墩里,118
臺中市,西屯區,潮洋里,58
臺中市,西屯區,龍潭里,0
臺中市,西屯區,惠來里,195
臺中市,西屯區,上石里,2
臺中市,西屯區,逢甲里,0
臺中市,西屯區,鵬程里,0
臺中市,西屯區,何安里,1
臺中市,西屯區,何厝里,0
臺中市,西屯區,大河里,2
臺中市,西屯區,大石里,1
臺中市,西屯區,大福里,0
臺中市,西屯區,大鵬里,2
臺中市,西屯區,港尾里,4
臺中市,西屯區,廣福里,0
臺中市,西屯區,林厝里,6
臺中市,西屯區,永安里,5
臺中市,西屯區,福安里,5
臺中市,西屯區,協和里,11
臺中市,西屯區,何仁里,7
臺中市,西屯區,何德里,0
臺中市,西屯區,何源里,1
臺中市,西屯區,西平里,32
臺中市,西屯區,何南里,0
臺中市,西屯區,至善里,0
臺中市,西屯區,上安里,2
臺中市,西屯區,上德里,0
臺中市,西屯區,逢福里,1
臺中市,西屯區,何明里,0
臺中市,西屯區,何成里,0
臺中市,西屯區,何福里,0
臺中市,西屯區,福和里,31
臺中市,西屯區,福中里,6
臺中市,西屯區,福恩里,1
臺中市,西屯區,福聯里,1
臺中市,西屯區,福瑞里,0
臺中市,西屯區,福林里,146
臺中市,西屯區,福雅里,0
臺中市,南屯區,南屯里,1
臺中市,南屯區,豐樂里,55
臺中市,南屯區,楓樹里,11
臺中市,南屯區,中和里,0
臺中市,南屯區,春社里,7
臺中市,南屯區,春安里,0
臺中市,南屯區,文山里,12
臺中市,南屯區,新生里,0
臺中市,南屯區,永定里,4
臺中市,南屯區,三厝里,20
臺中市,南屯區,溝墘里,0
臺中市,南屯區,田心里,0
臺中市,南屯區,黎明里,2
臺中市,南屯區,鎮平里,0
臺中市,南屯區,大同里,0
臺中市,南屯區,文心里,9
臺中市,南屯區,同心里,0
臺中市,南屯區,向心里,3
臺中市,南屯區,大誠里,0
臺中市,南屯區,大興里,0
臺中市,南屯區,大業里,3
臺中市,南屯區,惠中里,31
臺中市,南屯區,寶山里,0
臺中市,南屯區,三和里,3
臺中市,南屯區,三義里,4
臺中市,北屯區,北興里,0
臺中市,北屯區,北屯里,0
臺中市,北屯區,三光里,59
臺中市,北屯區,平田里,0
臺中市,北屯區,平和里,0
臺中市,北屯區,東光里,0
臺中市,北屯區,舊社里,3
臺中市,北屯區,水景里,215
臺中市,北屯區,軍功里,27
臺中市,北屯區,和平里,54
臺中市,北屯區,東山里,0
臺中市,北屯區,民政里,0
臺中市,北屯區,?子里,57
臺中市,北屯區,大坑里,0
臺中市,北屯區,民德里,0
臺中市,北屯區,松竹里,34
臺中市,北屯區,仁和里,17
臺中市,北屯區,仁美里,145
臺中市,北屯區,四民里,0
臺中市,北屯區,后庄里,7
臺中市,北屯區,同榮里,2
臺中市,北屯區,仁愛里,0
臺中市,北屯區,水湳里,1
臺中市,北屯區,陳平里,0
臺中市,北屯區,新平里,0
臺中市,北屯區,平安里,0
臺中市,北屯區,平順里,4
臺中市,北屯區,平德里,15
臺中市,北屯區,松安里,5
臺中市,北屯區,松茂里,0
臺中市,北屯區,大德里,1
臺中市,北屯區,松強里,12
臺中市,北屯區,松勇里,0
臺中市,北屯區,北京里,1
臺中市,北屯區,平心里,0
臺中市,北屯區,平福里,0
臺中市,北屯區,松和里,5
臺中市,北屯區,平陽里,3
臺中市,北屯區,平興里,1
臺中市,北屯區,平昌里,3
臺中市,北屯區,三和里,1
臺中市,北屯區,忠平里,0
臺中市,豐原區,豐原里,5
臺中市,豐原區,頂街里,0
臺中市,豐原區,中山里,0
臺中市,豐原區,豐榮里,0
臺中市,豐原區,下街里,0
臺中市,豐原區,富春里,0
臺中市,豐原區,葫蘆里,0
臺中市,豐原區,豐西里,0
臺中市,豐原區,西安里,0
臺中市,豐原區,西勢里,0
臺中市,豐原區,東勢里,0
臺中市,豐原區,民生里,2
臺中市,豐原區,大湳里,5
臺中市,豐原區,北湳里,0
臺中市,豐原區,東湳里,2
臺中市,豐原區,西湳里,11
臺中市,豐原區,圳寮里,2
臺中市,豐原區,豐圳里,9
臺中市,豐原區,社皮里,0
臺中市,豐原區,三村里,2
臺中市,豐原區,中興里,1
臺中市,豐原區,田心里,3
臺中市,豐原區,豐田里,2
臺中市,豐原區,鎌村里,0
臺中市,豐原區,南陽里,7
臺中市,豐原區,陽明里,0
臺中市,豐原區,北陽里,12
臺中市,豐原區,中陽里,0
臺中市,豐原區,東陽里,1
臺中市,豐原區,南村里,2
臺中市,豐原區,南田里,1
臺中市,豐原區,南嵩里,10
臺中市,豐原區,翁明里,0
臺中市,豐原區,翁子里,0
臺中市,豐原區,翁社里,0
臺中市,豐原區,朴子里,1
臺中市,東勢區,北興里,4
臺中市,東勢區,中寧里,0
臺中市,東勢區,東安里,0
臺中市,東勢區,南平里,0
臺中市,東勢區,延平里,1
臺中市,東勢區,上新里,0
臺中市,東勢區,廣興里,0
臺中市,東勢區,泰昌里,0
臺中市,東勢區,中嵙里,0
臺中市,東勢區,福隆里,2
臺中市,東勢區,隆興里,0
