縣市,鄉鎮市區,村里,105年第二季宅數
臺南市,新營區,忠政里,4
臺南市,新營區,民權里,0
臺南市,新營區,三仙里,6
臺南市,新營區,好平里,0
臺南市,新營區,延平里,2
臺南市,新營區,永生里,0
臺南市,新營區,大宏里,35
臺南市,新營區,王公里,2
臺南市,新營區,中營里,0
臺南市,新營區,土庫里,0
臺南市,新營區,興安里,0
臺南市,新營區,南興里,0
臺南市,新營區,興業里,0
臺南市,新營區,民生里,0
臺南市,新營區,民榮里,4
臺南市,新營區,埤寮里,0
臺南市,新營區,護鎮里,0
臺南市,新營區,太南里,0
臺南市,新營區,太北里,0
臺南市,新營區,南紙里,0
臺南市,新營區,嘉芳里,12
臺南市,新營區,舊?里,0
臺南市,新營區,角帶里,0
臺南市,新營區,鐵線里,0
臺南市,新營區,五興里,0
臺南市,新營區,姑爺里,0
臺南市,新營區,新北里,20
臺南市,新營區,新南里,47
臺南市,新營區,新東里,13
臺南市,鹽水區,水秀里,1
臺南市,鹽水區,福得里,0
臺南市,鹽水區,三生里,0
臺南市,鹽水區,武廟里,0
臺南市,鹽水區,中境里,0
臺南市,鹽水區,水仙里,0
臺南市,鹽水區,水正里,0
臺南市,鹽水區,橋南里,0
臺南市,鹽水區,舊營里,0
臺南市,鹽水區,汫水里,3
臺南市,鹽水區,岸內里,17
臺南市,鹽水區,義稠里,0
臺南市,鹽水區,下中里,0
臺南市,鹽水區,歡雅里,0
臺南市,鹽水區,大莊里,2
臺南市,鹽水區,桐寮里,0
臺南市,鹽水區,後宅里,0
臺南市,鹽水區,孫厝里,0
臺南市,鹽水區,竹埔里,0
臺南市,鹽水區,下林里,0
臺南市,鹽水區,田寮里,0
臺南市,鹽水區,大豐里,0
臺南市,鹽水區,飯店里,0
臺南市,鹽水區,河南里,0
臺南市,鹽水區,南港里,0
臺南市,白河區,白河里,3
臺南市,白河區,永安里,3
臺南市,白河區,外角里,0
臺南市,白河區,庄內里,0
臺南市,白河區,秀祐里,0
臺南市,白河區,河東里,0
臺南市,白河區,虎山里,0
臺南市,白河區,大林里,0
臺南市,白河區,崁頭里,0
臺南市,白河區,六溪里,0
臺南市,白河區,仙草里,0
臺南市,白河區,關嶺里,1
臺南市,白河區,玉豐里,0
臺南市,白河區,大竹里,0
臺南市,白河區,詔安里,0
臺南市,白河區,廣安里,0
臺南市,白河區,蓮潭里,0
臺南市,白河區,竹門里,0
臺南市,白河區,崎內里,0
臺南市,白河區,昇安里,0
臺南市,白河區,汴頭里,0
臺南市,白河區,內角里,0
臺南市,白河區,草店里,0
臺南市,白河區,甘宅里,0
臺南市,柳營區,士林里,0
臺南市,柳營區,光福里,0
臺南市,柳營區,中埕里,2
臺南市,柳營區,東昇里,7
臺南市,柳營區,八翁里,0
臺南市,柳營區,人和里,0
臺南市,柳營區,太康里,8
臺南市,柳營區,重溪里,0
臺南市,柳營區,篤農里,0
臺南市,柳營區,大農里,0
臺南市,柳營區,神農里,0
臺南市,柳營區,果毅里,0
臺南市,柳營區,旭山里,0
臺南市,後壁區,後壁里,0
臺南市,後壁區,侯伯里,0
臺南市,後壁區,嘉苳里,0
臺南市,後壁區,土溝里,0
臺南市,後壁區,嘉田里,0
臺南市,後壁區,嘉民里,0
臺南市,後壁區,菁豊里,0
臺南市,後壁區,崁頂里,0
臺南市,後壁區,仕安里,0
臺南市,後壁區,竹新里,0
臺南市,後壁區,新東里,0
臺南市,後壁區,頂安里,0
臺南市,後壁區,長安里,0
臺南市,後壁區,福安里,0
臺南市,後壁區,烏樹里,0
臺南市,後壁區,後?里,0
臺南市,後壁區,墨林里,0
臺南市,後壁區,菁寮里,0
臺南市,後壁區,新嘉里,0
臺南市,後壁區,頂長里,0
臺南市,後壁區,平安里,0
臺南市,東山區,東山里,0
臺南市,東山區,東中里,11
臺南市,東山區,東正里,0
臺南市,東山區,三榮里,0
臺南市,東山區,大客里,0
臺南市,東山區,科里里,0
臺南市,東山區,東河里,0
臺南市,東山區,南溪里,0
臺南市,東山區,水雲里,0
臺南市,東山區,林安里,0
臺南市,東山區,東原里,0
臺南市,東山區,嶺南里,0
臺南市,東山區,南勢里,0
臺南市,東山區,青山里,0
臺南市,東山區,高原里,0
臺南市,東山區,聖賢里,0
臺南市,麻豆區,穀興里,8
臺南市,麻豆區,保安里,0
臺南市,麻豆區,東角里,2
臺南市,麻豆區,?江里,0
臺南市,麻豆區,巷口里,21
臺南市,麻豆區,中興里,0
臺南市,麻豆區,興農里,1
臺南市,麻豆區,新建里,8
臺南市,麻豆區,油車里,3
臺南市,麻豆區,北勢里,0
臺南市,麻豆區,大埕里,31
臺南市,麻豆區,總榮里,0
臺南市,麻豆區,龍泉里,0
臺南市,麻豆區,南勢里,4
臺南市,麻豆區,寮?里,0
臺南市,麻豆區,小埤里,0
臺南市,麻豆區,埤頭里,0
臺南市,麻豆區,大山里,0
臺南市,麻豆區,海埔里,0
臺南市,麻豆區,莊禮里,0
臺南市,麻豆區,港尾里,0
臺南市,麻豆區,麻口里,2
臺南市,麻豆區,安東里,0
臺南市,麻豆區,安業里,0
臺南市,麻豆區,安西里,0
臺南市,麻豆區,謝安里,0
臺南市,麻豆區,中民里,0
臺南市,麻豆區,安正里,0
臺南市,麻豆區,磚井里,0
臺南市,下營區,下營里,0
臺南市,下營區,仁里里,7
臺南市,下營區,宅內里,2
臺南市,下營區,後街里,1
臺南市,下營區,新興里,0
臺南市,下營區,營前里,0
臺南市,下營區,大屯里,0
臺南市,下營區,大埤里,0
臺南市,下營區,茅港里,0
臺南市,下營區,中營里,0
臺南市,下營區,開化里,0
臺南市,下營區,西連里,0
臺南市,下營區,賀建里,0
臺南市,下營區,甲中里,0
臺南市,下營區,紅厝里,0
臺南市,六甲區,六甲里,0
臺南市,六甲區,甲東里,0
臺南市,六甲區,甲南里,0
臺南市,六甲區,龍湖里,0
臺南市,六甲區,七甲里,1
臺南市,六甲區,二甲里,1
臺南市,六甲區,水林里,0
臺南市,六甲區,中社里,0
臺南市,六甲區,龜港里,0
臺南市,六甲區,菁埔里,0
臺南市,六甲區,王爺里,0
臺南市,六甲區,大丘里,0
臺南市,官田區,官田里,0
臺南市,官田區,二鎮里,5
臺南市,官田區,湖山里,0
臺南市,官田區,嘉南里,0
臺南市,官田區,大崎里,0
臺南市,官田區,隆田里,0
臺南市,官田區,隆本里,62
臺南市,官田區,南?里,0
臺南市,官田區,東庄里,0
臺南市,官田區,西庄里,0
臺南市,官田區,拔林里,3
臺南市,官田區,渡頭里,0
臺南市,官田區,社子里,0
臺南市,大內區,石湖里,0
臺南市,大內區,石林里,0
臺南市,大內區,石城里,0
臺南市,大內區,內江里,0
臺南市,大內區,大內里,0
臺南市,大內區,內郭里,0
臺南市,大內區,頭社里,0
臺南市,大內區,環湖里,0
臺南市,大內區,二溪里,0
臺南市,大內區,曲溪里,0
臺南市,佳里區,東寧里,10
臺南市,佳里區,忠仁里,1
臺南市,佳里區,鎮山里,9
臺南市,佳里區,建南里,20
臺南市,佳里區,安西里,27
臺南市,佳里區,六安里,40
臺南市,佳里區,佳化里,0
臺南市,佳里區,禮化里,6
臺南市,佳里區,興化里,8
臺南市,佳里區,營頂里,6
臺南市,佳里區,溪州里,0
臺南市,佳里區,海澄里,8
臺南市,佳里區,漳洲里,0
臺南市,佳里區,頂?里,0
臺南市,佳里區,嘉福里,0
臺南市,佳里區,通興里,0
臺南市,佳里區,蚶寮里,0
