縣市,鄉鎮市區,112Q3宅數
金門縣,全區,255
金門縣,金城鎮,49
金門縣,金湖鎮,94
金門縣,金沙鎮,18
金門縣,金寧鄉,93
金門縣,烈嶼鄉,1
金門縣,烏坵鄉,0
