縣市,鄉鎮市區,村里,105年宅數,105年比例
嘉義縣,太保市,太保里,131,12.59%
嘉義縣,太保市,後庄里,20,12.50%
嘉義縣,太保市,前潭里,90,15.90%
嘉義縣,太保市,後潭里,82,11.99%
嘉義縣,太保市,梅埔里,43,12.87%
嘉義縣,太保市,春珠里,45,13.01%
嘉義縣,太保市,崙頂里,35,11.68%
嘉義縣,太保市,東勢里,214,22.18%
嘉義縣,太保市,新埤里,55,11.23%
嘉義縣,太保市,舊埤里,201,16.51%
嘉義縣,太保市,田尾里,41,16.58%
嘉義縣,太保市,港尾里,11,7.29%
嘉義縣,太保市,過溝里,229,15.37%
嘉義縣,太保市,麻寮里,226,10.59%
嘉義縣,太保市,南新里,101,13.58%
嘉義縣,太保市,北新里,138,9.99%
嘉義縣,太保市,埤鄉里,35,12.87%
嘉義縣,太保市,安仁里,373,21.90%
嘉義縣,朴子市,安福里,174,16.15%
嘉義縣,朴子市,平和里,125,11.24%
嘉義縣,朴子市,內厝里,74,15.10%
嘉義縣,朴子市,開元里,37,19.75%
嘉義縣,朴子市,順天里,39,12.76%
嘉義縣,朴子市,中正里,50,17.78%
嘉義縣,朴子市,博厚里,47,12.79%
嘉義縣,朴子市,文化里,67,8.37%
嘉義縣,朴子市,永和里,150,14.15%
嘉義縣,朴子市,竹圍里,237,12.49%
嘉義縣,朴子市,新寮里,17,8.09%
嘉義縣,朴子市,?溪里,27,11.70%
嘉義縣,朴子市,溪口里,34,13.79%
嘉義縣,朴子市,德興里,32,10.13%
嘉義縣,朴子市,仁和里,367,39.64%
嘉義縣,朴子市,大鄉里,185,14.84%
嘉義縣,朴子市,大葛里,330,21.13%
嘉義縣,朴子市,佳禾里,30,14.02%
嘉義縣,朴子市,竹村里,81,17.19%
嘉義縣,朴子市,崁前里,31,10.71%
嘉義縣,朴子市,順安里,23,26.19%
嘉義縣,朴子市,崁後里,33,14.74%
嘉義縣,朴子市,德家里,44,17.47%
嘉義縣,朴子市,新庄里,36,20.47%
嘉義縣,朴子市,梅華里,92,22.01%
嘉義縣,朴子市,松華里,83,17.83%
嘉義縣,朴子市,南竹里,24,13.73%
嘉義縣,布袋鎮,岱江里,49,20.15%
嘉義縣,布袋鎮,九龍里,45,27.16%
嘉義縣,布袋鎮,岑海里,209,21.16%
嘉義縣,布袋鎮,興中里,85,18.16%
嘉義縣,布袋鎮,光復里,99,13.80%
嘉義縣,布袋鎮,見龍里,57,17.03%
嘉義縣,布袋鎮,新厝里,75,21.38%
嘉義縣,布袋鎮,龍江里,55,15.63%
嘉義縣,布袋鎮,新岑里,14,6.38%
嘉義縣,布袋鎮,新民里,68,16.84%
嘉義縣,布袋鎮,復興里,181,22.89%
嘉義縣,布袋鎮,好美里,59,18.13%
嘉義縣,布袋鎮,永安里,118,23.69%
嘉義縣,布袋鎮,東港里,120,16.38%
嘉義縣,布袋鎮,江山里,21,17.78%
嘉義縣,布袋鎮,菜舖里,18,13.21%
嘉義縣,布袋鎮,考試里,28,23.91%
嘉義縣,布袋鎮,振寮里,62,20.20%
嘉義縣,布袋鎮,西安里,83,18.06%
嘉義縣,布袋鎮,東安里,124,25.49%
嘉義縣,布袋鎮,中安里,95,17.90%
嘉義縣,布袋鎮,樹林里,39,21.00%
嘉義縣,布袋鎮,貴舍里,48,25.00%
嘉義縣,大林鎮,東林里,34,12.17%
嘉義縣,大林鎮,西林里,108,11.89%
嘉義縣,大林鎮,吉林里,74,14.45%
嘉義縣,大林鎮,平林里,413,14.21%
嘉義縣,大林鎮,明華里,54,14.29%
嘉義縣,大林鎮,明和里,85,12.96%
嘉義縣,大林鎮,排路里,54,20.25%
嘉義縣,大林鎮,西結里,28,11.03%
嘉義縣,大林鎮,湖北里,25,12.78%
嘉義縣,大林鎮,大糖里,15,12.50%
嘉義縣,大林鎮,大美里,96,15.29%
嘉義縣,大林鎮,過溪里,85,18.08%
嘉義縣,大林鎮,中坑里,96,18.97%
嘉義縣,大林鎮,上林里,43,12.57%
嘉義縣,大林鎮,中林里,45,10.00%
嘉義縣,大林鎮,三和里,151,16.24%
嘉義縣,大林鎮,溝背里,79,20.95%
嘉義縣,大林鎮,義和里,15,8.13%
嘉義縣,大林鎮,內林里,39,21.01%
嘉義縣,大林鎮,三角里,38,12.14%
嘉義縣,大林鎮,三村里,29,10.34%
嘉義縣,民雄鄉,東榮村,127,11.30%
嘉義縣,民雄鄉,中樂村,86,11.59%
嘉義縣,民雄鄉,西安村,136,9.21%
嘉義縣,民雄鄉,寮頂村,136,15.59%
嘉義縣,民雄鄉,福權村,72,14.43%
嘉義縣,民雄鄉,東湖村,152,18.86%
嘉義縣,民雄鄉,頂崙村,105,18.13%
