縣市,鄉鎮市區,村里,107年宅數,107年比例
嘉義縣,太保市,太保里,128,12.02%
嘉義縣,太保市,後庄里,19,11.61%
嘉義縣,太保市,前潭里,97,16.52%
嘉義縣,太保市,後潭里,102,16.00%
嘉義縣,太保市,梅埔里,46,13.86%
嘉義縣,太保市,春珠里,251,35.67%
嘉義縣,太保市,崙頂里,38,12.69%
嘉義縣,太保市,東勢里,199,20.61%
嘉義縣,太保市,新埤里,52,11.75%
嘉義縣,太保市,舊埤里,197,15.71%
嘉義縣,太保市,田尾里,47,18.65%
嘉義縣,太保市,港尾里,19,12.63%
嘉義縣,太保市,過溝里,195,12.78%
嘉義縣,太保市,麻寮里,229,10.43%
嘉義縣,太保市,南新里,119,15.36%
嘉義縣,太保市,北新里,170,11.89%
嘉義縣,太保市,埤鄉里,41,15.03%
嘉義縣,太保市,安仁里,351,20.40%
嘉義縣,朴子市,安福里,172,15.84%
嘉義縣,朴子市,平和里,114,9.99%
嘉義縣,朴子市,內厝里,68,13.89%
嘉義縣,朴子市,開元里,37,19.63%
嘉義縣,朴子市,順天里,51,17.08%
嘉義縣,朴子市,中正里,53,18.78%
嘉義縣,朴子市,博厚里,111,23.99%
嘉義縣,朴子市,文化里,84,10.60%
嘉義縣,朴子市,永和里,131,12.32%
嘉義縣,朴子市,竹圍里,255,12.93%
嘉義縣,朴子市,新寮里,19,9.20%
嘉義縣,朴子市,?溪里,33,14.56%
嘉義縣,朴子市,溪口里,45,18.89%
嘉義縣,朴子市,德興里,25,8.87%
嘉義縣,朴子市,仁和里,367,37.96%
嘉義縣,朴子市,大鄉里,192,15.87%
嘉義縣,朴子市,大葛里,315,19.55%
嘉義縣,朴子市,佳禾里,36,16.51%
嘉義縣,朴子市,竹村里,83,17.44%
嘉義縣,朴子市,崁前里,26,9.33%
嘉義縣,朴子市,順安里,22,28.57%
嘉義縣,朴子市,崁後里,31,14.56%
嘉義縣,朴子市,德家里,39,15.14%
嘉義縣,朴子市,新庄里,32,19.53%
嘉義縣,朴子市,梅華里,86,22.31%
嘉義縣,朴子市,松華里,85,20.53%
嘉義縣,朴子市,南竹里,21,12.93%
嘉義縣,布袋鎮,岱江里,53,22.06%
