縣市,鄉鎮市區,村里,101年宅數,101年比例
嘉義縣,太保市,太保里,148,14.75%
嘉義縣,太保市,後庄里,19,11.82%
嘉義縣,太保市,前潭里,106,19.02%
嘉義縣,太保市,後潭里,88,14.44%
嘉義縣,太保市,梅埔里,43,13.40%
嘉義縣,太保市,春珠里,47,13.99%
嘉義縣,太保市,崙頂里,48,16.49%
嘉義縣,太保市,東勢里,269,27.92%
嘉義縣,太保市,新埤里,63,13.09%
嘉義縣,太保市,舊埤里,202,18.18%
嘉義縣,太保市,田尾里,47,18.69%
嘉義縣,太保市,港尾里,9,6.25%
嘉義縣,太保市,過溝里,165,12.73%
嘉義縣,太保市,麻寮里,239,12.55%
嘉義縣,太保市,南新里,117,16.12%
嘉義縣,太保市,北新里,148,11.52%
嘉義縣,太保市,埤鄉里,35,12.87%
嘉義縣,太保市,安仁里,557,32.57%
嘉義縣,朴子市,安福里,153,14.78%
嘉義縣,朴子市,平和里,128,12.16%
嘉義縣,朴子市,內厝里,59,13.87%
嘉義縣,朴子市,開元里,30,16.05%
嘉義縣,朴子市,順天里,41,13.98%
嘉義縣,朴子市,中正里,55,19.82%
嘉義縣,朴子市,博厚里,40,10.98%
嘉義縣,朴子市,文化里,74,9.42%
嘉義縣,朴子市,永和里,137,13.31%
嘉義縣,朴子市,竹圍里,226,12.10%
嘉義縣,朴子市,新寮里,18,8.77%
嘉義縣,朴子市,?溪里,26,12.22%
嘉義縣,朴子市,溪口里,52,21.84%
嘉義縣,朴子市,德興里,32,10.65%
嘉義縣,朴子市,仁和里,490,59.78%
嘉義縣,朴子市,大鄉里,204,16.93%
嘉義縣,朴子市,大葛里,457,27.70%
嘉義縣,朴子市,佳禾里,21,9.90%
嘉義縣,朴子市,竹村里,107,22.98%
嘉義縣,朴子市,崁前里,29,10.45%
嘉義縣,朴子市,順安里,15,19.51%
嘉義縣,朴子市,崁後里,41,18.71%
嘉義縣,朴子市,德家里,37,15.48%
嘉義縣,朴子市,新庄里,28,16.41%
嘉義縣,朴子市,梅華里,80,19.90%
嘉義縣,朴子市,松華里,77,17.43%
嘉義縣,朴子市,南竹里,21,12.37%
嘉義縣,布袋鎮,岱江里,51,21.17%
嘉義縣,布袋鎮,九龍里,39,23.46%
嘉義縣,布袋鎮,岑海里,240,24.30%
