縣市,鄉鎮市區,村里,106年宅數,106年比例
花蓮縣,花蓮市,民立里,69,8.83%
花蓮縣,花蓮市,民運里,131,11.20%
花蓮縣,花蓮市,民族里,45,18.65%
花蓮縣,花蓮市,主信里,51,15.20%
花蓮縣,花蓮市,主睦里,74,20.19%
花蓮縣,花蓮市,主和里,142,11.26%
花蓮縣,花蓮市,國威里,105,14.89%
花蓮縣,花蓮市,國風里,118,8.95%
花蓮縣,花蓮市,民德里,129,14.00%
花蓮縣,花蓮市,民意里,193,16.65%
花蓮縣,花蓮市,民治里,19,27.78%
花蓮縣,花蓮市,主義里,38,17.88%
花蓮縣,花蓮市,主工里,42,14.49%
花蓮縣,花蓮市,主農里,150,9.98%
花蓮縣,花蓮市,國治里,59,12.60%
花蓮縣,花蓮市,國富里,308,11.35%
花蓮縣,花蓮市,民政里,200,10.06%
花蓮縣,花蓮市,民勤里,166,11.25%
花蓮縣,花蓮市,民生里,74,12.91%
花蓮縣,花蓮市,主商里,38,13.39%
花蓮縣,花蓮市,主學里,121,14.83%
花蓮縣,花蓮市,國光里,84,14.63%
花蓮縣,花蓮市,國聯里,326,16.63%
花蓮縣,花蓮市,國強里,66,8.91%
花蓮縣,花蓮市,民心里,32,8.70%
花蓮縣,花蓮市,民樂里,61,12.47%
花蓮縣,花蓮市,民主里,59,17.43%
花蓮縣,花蓮市,主勤里,54,15.44%
花蓮縣,花蓮市,主力里,155,11.30%
花蓮縣,花蓮市,國安里,34,11.52%
花蓮縣,花蓮市,國魂里,102,10.93%
花蓮縣,花蓮市,國慶里,78,14.91%
花蓮縣,花蓮市,民享里,139,8.89%
花蓮縣,花蓮市,民有里,31,15.29%
花蓮縣,花蓮市,民權里,58,23.03%
花蓮縣,花蓮市,主計里,64,14.60%
花蓮縣,花蓮市,主權里,238,9.88%
花蓮縣,花蓮市,國華里,111,12.36%
花蓮縣,花蓮市,國防里,76,17.45%
花蓮縣,花蓮市,國福里,62,10.64%
花蓮縣,花蓮市,國裕里,246,11.38%
花蓮縣,花蓮市,主安里,86,8.84%
花蓮縣,花蓮市,國盛里,563,17.82%
花蓮縣,花蓮市,國興里,197,9.74%
花蓮縣,花蓮市,民孝里,107,6.87%
花蓮縣,鳳林鎮,鳳仁里,75,12.84%
花蓮縣,鳳林鎮,鳳義里,62,21.40%
花蓮縣,鳳林鎮,鳳禮里,41,13.49%
花蓮縣,鳳林鎮,鳳智里,109,16.26%
花蓮縣,鳳林鎮,鳳信里,114,17.75%
花蓮縣,鳳林鎮,山興里,63,28.85%
花蓮縣,鳳林鎮,大榮里,129,22.39%
花蓮縣,鳳林鎮,北林里,62,23.76%
花蓮縣,鳳林鎮,南平里,73,24.34%
花蓮縣,鳳林鎮,林榮里,97,22.19%
花蓮縣,鳳林鎮,長橋里,86,17.40%
花蓮縣,鳳林鎮,森榮里,27,25.00%
花蓮縣,玉里鎮,中城里,294,11.80%
花蓮縣,玉里鎮,啟模里,154,17.39%
花蓮縣,玉里鎮,永昌里,121,20.70%
花蓮縣,玉里鎮,泰昌里,100,17.70%
花蓮縣,玉里鎮,國武里,92,15.34%
花蓮縣,玉里鎮,源城里,48,10.83%
花蓮縣,玉里鎮,長良里,51,21.43%
花蓮縣,玉里鎮,樂合里,82,17.82%
花蓮縣,玉里鎮,東豐里,47,22.68%
