縣市,鄉鎮市區,村里,102年宅數,102年比例
金門縣,金城鎮,東門里,96,11.34%
金門縣,金城鎮,古城里,79,16.92%
金門縣,金城鎮,金水里,30,11.57%
金門縣,金城鎮,珠沙里,43,10.88%
金門縣,金城鎮,賢庵里,48,7.62%
金門縣,金沙鎮,汶沙里,173,18.53%
金門縣,金沙鎮,三山里,43,17.59%
金門縣,金沙鎮,大洋里,25,15.57%
金門縣,金沙鎮,光前里,66,15.99%
金門縣,金沙鎮,何斗里,51,15.97%
金門縣,金沙鎮,西園里,41,20.86%
金門縣,金沙鎮,官嶼里,50,19.60%
金門縣,金沙鎮,浦山里,60,18.22%
金門縣,金湖鎮,新市里,65,9.02%
金門縣,金湖鎮,山外里,58,10.77%
金門縣,金湖鎮,正義里,42,11.05%
金門縣,金湖鎮,料羅里,44,18.09%
金門縣,金湖鎮,瓊林里,51,12.04%
金門縣,金湖鎮,新湖里,191,13.59%
金門縣,金湖鎮,溪湖里,39,18.54%
金門縣,金湖鎮,蓮庵里,36,17.53%
金門縣,金寧鄉,古寧村,45,15.77%
金門縣,金寧鄉,安美村,51,10.53%
金門縣,金寧鄉,后盤村,29,15.69%
金門縣,金寧鄉,湖埔村,119,12.08%
金門縣,金寧鄉,榜林村,109,15.15%
金門縣,金寧鄉,盤山村,86,11.39%
金門縣,烈嶼鄉,上岐村,34,13.62%
金門縣,烈嶼鄉,上林村,19,14.41%
金門縣,烈嶼鄉,西口村,61,25.00%
金門縣,烈嶼鄉,林湖村,59,15.08%
金門縣,烈嶼鄉,黃埔村,21,14.17%
金門縣,烏坵鄉,大坵村,0,0.00%
金門縣,烏坵鄉,小坵村,0,0.00%
