縣市,鄉鎮市區,村里,101年宅數,101年比例
金門縣,金城鎮,東門里,86,10.24%
金門縣,金城鎮,古城里,63,14.05%
金門縣,金城鎮,金水里,30,12.76%
金門縣,金城鎮,珠沙里,41,10.77%
金門縣,金城鎮,賢庵里,66,10.56%
金門縣,金沙鎮,汶沙里,176,19.30%
金門縣,金沙鎮,三山里,43,18.23%
金門縣,金沙鎮,大洋里,27,17.54%
金門縣,金沙鎮,光前里,65,16.09%
金門縣,金沙鎮,何斗里,58,18.94%
金門縣,金沙鎮,西園里,36,19.59%
金門縣,金沙鎮,官嶼里,47,19.57%
金門縣,金沙鎮,浦山里,43,13.73%
金門縣,金湖鎮,新市里,54,7.45%
金門縣,金湖鎮,山外里,67,12.63%
金門縣,金湖鎮,正義里,39,10.70%
金門縣,金湖鎮,料羅里,37,15.51%
金門縣,金湖鎮,瓊林里,51,12.83%
金門縣,金湖鎮,新湖里,145,11.05%
金門縣,金湖鎮,溪湖里,37,19.39%
金門縣,金湖鎮,蓮庵里,36,18.62%
金門縣,金寧鄉,古寧村,42,15.11%
金門縣,金寧鄉,安美村,51,10.80%
金門縣,金寧鄉,后盤村,29,16.22%
金門縣,金寧鄉,湖埔村,85,10.05%
金門縣,金寧鄉,榜林村,55,8.90%
金門縣,金寧鄉,盤山村,84,12.30%
金門縣,烈嶼鄉,上岐村,33,14.22%
金門縣,烈嶼鄉,上林村,20,15.74%
金門縣,烈嶼鄉,西口村,59,26.49%
金門縣,烈嶼鄉,林湖村,54,14.24%
金門縣,烈嶼鄉,黃埔村,21,14.91%
金門縣,烏坵鄉,大坵村,0,0.00%
金門縣,烏坵鄉,小坵村,0,0.00%
