縣市,鄉鎮市區,村里,102年第三季宅數
澎湖縣,馬公市,復興里,0
澎湖縣,馬公市,長安里,0
澎湖縣,馬公市,中央里,0
澎湖縣,馬公市,啟明里,0
澎湖縣,馬公市,重慶里,0
澎湖縣,馬公市,中興里,0
澎湖縣,馬公市,光復里,0
澎湖縣,馬公市,光榮里,5
澎湖縣,馬公市,光明里,0
澎湖縣,馬公市,朝陽里,0
澎湖縣,馬公市,陽明里,0
澎湖縣,馬公市,重光里,0
澎湖縣,馬公市,西衛里,3
澎湖縣,馬公市,西文里,1
澎湖縣,馬公市,東文里,9
澎湖縣,馬公市,案山里,0
澎湖縣,馬公市,光華里,0
澎湖縣,馬公市,前寮里,0
澎湖縣,馬公市,石泉里,0
澎湖縣,馬公市,菜園里,0
澎湖縣,馬公市,東衛里,0
澎湖縣,馬公市,安宅里,0
澎湖縣,馬公市,烏崁里,0
澎湖縣,馬公市,興仁里,0
澎湖縣,馬公市,鐵線里,0
澎湖縣,馬公市,山水里,0
澎湖縣,馬公市,鎖港里,0
澎湖縣,馬公市,五德里,0
澎湖縣,馬公市,井垵里,0
澎湖縣,馬公市,?裡里,0
澎湖縣,馬公市,風櫃里,0
澎湖縣,馬公市,虎井里,0
澎湖縣,馬公市,桶盤里,0
澎湖縣,湖西鄉,湖西村,0
澎湖縣,湖西鄉,湖東村,0
澎湖縣,湖西鄉,青螺村,0
澎湖縣,湖西鄉,白坑村,0
澎湖縣,湖西鄉,南寮村,0
澎湖縣,湖西鄉,北寮村,0
澎湖縣,湖西鄉,紅羅村,0
澎湖縣,湖西鄉,西溪村,0
澎湖縣,湖西鄉,成功村,0
澎湖縣,湖西鄉,東石村,0
澎湖縣,湖西鄉,中西村,0
澎湖縣,湖西鄉,潭邊村,0
澎湖縣,湖西鄉,鼎灣村,0
澎湖縣,湖西鄉,許家村,0
澎湖縣,湖西鄉,沙港村,0
澎湖縣,湖西鄉,城北村,0
澎湖縣,湖西鄉,太武村,0
澎湖縣,湖西鄉,隘門村,0
澎湖縣,湖西鄉,林投村,0
澎湖縣,湖西鄉,尖山村,0
澎湖縣,湖西鄉,龍門村,0
澎湖縣,湖西鄉,?葉村,0
澎湖縣,白沙鄉,中屯村,0
澎湖縣,白沙鄉,講美村,0
澎湖縣,白沙鄉,城前村,0
澎湖縣,白沙鄉,鎮海村,0
澎湖縣,白沙鄉,港子村,0
澎湖縣,白沙鄉,岐頭村,0
澎湖縣,白沙鄉,小赤村,0
澎湖縣,白沙鄉,赤崁村,0
澎湖縣,白沙鄉,瓦硐村,0
澎湖縣,白沙鄉,後寮村,0
澎湖縣,白沙鄉,通梁村,0
澎湖縣,白沙鄉,吉貝村,0
澎湖縣,白沙鄉,鳥嶼村,0
澎湖縣,白沙鄉,員貝村,0
澎湖縣,白沙鄉,大倉村,0
澎湖縣,西嶼鄉,橫礁村,0
澎湖縣,西嶼鄉,合界村,0
澎湖縣,西嶼鄉,小門村,0
澎湖縣,西嶼鄉,竹灣村,0
澎湖縣,西嶼鄉,大池村,0
澎湖縣,西嶼鄉,二崁村,0
澎湖縣,西嶼鄉,池東村,0
澎湖縣,西嶼鄉,池西村,0
澎湖縣,西嶼鄉,赤馬村,0
澎湖縣,西嶼鄉,內垵村,0
澎湖縣,西嶼鄉,外垵村,0
澎湖縣,望安鄉,東安村,0
澎湖縣,望安鄉,西安村,0
澎湖縣,望安鄉,中社村,0
澎湖縣,望安鄉,水垵村,0
澎湖縣,望安鄉,將軍村,0
澎湖縣,望安鄉,東坪村,0
澎湖縣,望安鄉,西坪村,0
澎湖縣,望安鄉,東吉村,0
澎湖縣,望安鄉,花嶼村,0
澎湖縣,七美鄉,東湖村,0
澎湖縣,七美鄉,西湖村,0
澎湖縣,七美鄉,中和村,0
澎湖縣,七美鄉,平和村,0
澎湖縣,七美鄉,海豐村,0
澎湖縣,七美鄉,南港村,0
