縣市,鄉鎮市區,109H2宅數,109H2比率(%)
桃園市,全區,81412,9.45
桃園市,桃園區,16837,9.26
桃園市,中壢區,17716,10.25
桃園市,平鎮區,6387,7.75
桃園市,八德區,6201,8.15
桃園市,楊梅區,7455,11.09
桃園市,大溪區,3720,10.67
桃園市,蘆竹區,4188,6.77
桃園市,大園區,3330,10.77
桃園市,龜山區,5840,8.74
桃園市,龍潭區,5789,12.47
桃園市,新屋區,1259,8.73
桃園市,觀音區,2323,10.16
桃園市,復興區,367,13.43
