縣市,鄉鎮市區,108宅數,108比率(%)
苗栗縣,全區,24089,11.99
苗栗縣,苗栗市,3704,10.27
苗栗縣,苑裡鎮,1488,10.02
苗栗縣,通霄鎮,1175,11.05
苗栗縣,竹南鎮,3791,11.25
苗栗縣,頭份市,5388,13.32
苗栗縣,後龍鎮,1216,10.10
苗栗縣,卓蘭鎮,448,9.53
苗栗縣,大湖鄉,724,15.50
苗栗縣,公館鄉,1202,10.57
苗栗縣,銅鑼鄉,685,11.52
苗栗縣,南庄鄉,455,13.18
苗栗縣,頭屋鄉,364,10.70
苗栗縣,三義鄉,585,10.15
苗栗縣,西湖鄉,273,12.39
苗栗縣,造橋鄉,1841,28.13
苗栗縣,三灣鄉,309,12.54
苗栗縣,獅潭鄉,283,18.23
苗栗縣,泰安鄉,158,14.66
