縣市,鄉鎮市區,111H1宅數,111H1比率(%)
苗栗縣,全區,22865,11.05
苗栗縣,苗栗市,3975,10.70
苗栗縣,苑裡鎮,1650,10.64
苗栗縣,通霄鎮,1333,12.42
苗栗縣,竹南鎮,3423,9.80
苗栗縣,頭份市,3827,9.13
苗栗縣,後龍鎮,1471,11.70
苗栗縣,卓蘭鎮,475,9.92
苗栗縣,大湖鄉,742,15.74
苗栗縣,公館鄉,1191,10.22
苗栗縣,銅鑼鄉,810,13.28
苗栗縣,南庄鄉,490,13.99
苗栗縣,頭屋鄉,462,13.39
苗栗縣,三義鄉,667,11.48
苗栗縣,西湖鄉,292,13.16
苗栗縣,造橋鄉,1224,18.58
苗栗縣,三灣鄉,355,14.12
苗栗縣,獅潭鄉,325,20.73
苗栗縣,泰安鄉,153,13.80
