縣市,鄉鎮市區,村里,106年宅數,106年比例
苗栗縣,苗栗市,中苗里,61,9.87%
苗栗縣,苗栗市,建功里,292,13.48%
苗栗縣,苗栗市,青苗里,71,11.65%
苗栗縣,苗栗市,玉清里,80,8.17%
苗栗縣,苗栗市,玉華里,130,8.74%
苗栗縣,苗栗市,維新里,104,7.17%
苗栗縣,苗栗市,維祥里,115,7.93%
苗栗縣,苗栗市,綠苗里,107,21.48%
苗栗縣,苗栗市,高苗里,164,10.51%
苗栗縣,苗栗市,玉苗里,55,12.29%
苗栗縣,苗栗市,大同里,68,18.62%
苗栗縣,苗栗市,新苗里,69,14.33%
苗栗縣,苗栗市,勝利里,157,8.86%
苗栗縣,苗栗市,恭敬里,171,12.97%
苗栗縣,苗栗市,上苗里,132,14.02%
苗栗縣,苗栗市,北苗里,185,7.55%
苗栗縣,苗栗市,清華里,181,11.23%
苗栗縣,苗栗市,嘉盛里,155,10.00%
苗栗縣,苗栗市,福星里,201,9.88%
苗栗縣,苗栗市,新川里,70,13.73%
苗栗縣,苗栗市,文山里,157,9.78%
苗栗縣,苗栗市,福麗里,226,9.53%
苗栗縣,苗栗市,水源里,295,18.74%
苗栗縣,苗栗市,新英里,121,14.87%
苗栗縣,苗栗市,福安里,123,8.53%
苗栗縣,苗栗市,嘉新里,64,6.24%
苗栗縣,苗栗市,南勢里,124,14.40%
苗栗縣,苗栗市,文聖里,95,6.88%
苗栗縣,苑裡鎮,苑東里,83,8.79%
苗栗縣,苑裡鎮,苑南里,66,8.87%
苗栗縣,苑裡鎮,苑北里,52,11.49%
苗栗縣,苑裡鎮,西平里,61,10.71%
苗栗縣,苑裡鎮,苑港里,48,12.62%
苗栗縣,苑裡鎮,西勢里,127,15.06%
苗栗縣,苑裡鎮,海岸里,53,14.79%
苗栗縣,苑裡鎮,房裡里,81,10.13%
苗栗縣,苑裡鎮,客庄里,164,9.52%
苗栗縣,苑裡鎮,中正里,90,11.90%
苗栗縣,苑裡鎮,苑坑里,34,11.11%
苗栗縣,苑裡鎮,水坡里,18,12.26%
苗栗縣,苑裡鎮,新復里,42,9.04%
苗栗縣,苑裡鎮,山?里,128,21.26%
苗栗縣,苑裡鎮,舊社里,86,12.00%
苗栗縣,苑裡鎮,福田里,48,11.60%
苗栗縣,苑裡鎮,石鎮里,23,17.12%
苗栗縣,苑裡鎮,蕉埔里,41,18.18%
苗栗縣,苑裡鎮,社苓里,73,9.00%
苗栗縣,苑裡鎮,泰田里,57,10.32%
苗栗縣,苑裡鎮,上?里,38,7.32%
苗栗縣,苑裡鎮,玉田里,46,8.15%
苗栗縣,苑裡鎮,南勢里,50,22.97%
苗栗縣,苑裡鎮,山柑里,43,8.62%
苗栗縣,苑裡鎮,田心里,34,5.48%
苗栗縣,通霄鎮,通東里,68,13.15%
苗栗縣,通霄鎮,通西里,97,10.18%
苗栗縣,通霄鎮,平元里,57,7.94%
苗栗縣,通霄鎮,梅南里,42,8.36%
苗栗縣,通霄鎮,圳頭里,24,11.95%
苗栗縣,通霄鎮,通南里,106,10.41%
苗栗縣,通霄鎮,城北里,21,9.52%
苗栗縣,通霄鎮,城南里,28,10.86%
苗栗縣,通霄鎮,南和里,22,9.33%
苗栗縣,通霄鎮,福興里,22,12.82%
苗栗縣,通霄鎮,坪頂里,46,12.85%
苗栗縣,通霄鎮,五南里,55,11.41%
苗栗縣,通霄鎮,五北里,43,10.53%
苗栗縣,通霄鎮,內湖里,55,8.89%
苗栗縣,通霄鎮,楓樹里,17,15.94%
苗栗縣,通霄鎮,烏眉里,49,17.96%
苗栗縣,通霄鎮,福龍里,22,20.83%
苗栗縣,通霄鎮,福源里,36,15.08%
苗栗縣,通霄鎮,通灣里,74,10.46%
苗栗縣,通霄鎮,新埔里,55,14.01%
苗栗縣,通霄鎮,內島里,44,16.19%
苗栗縣,通霄鎮,白東里,116,18.28%
苗栗縣,通霄鎮,白西里,50,17.17%
苗栗縣,通霄鎮,平安里,64,7.67%
苗栗縣,竹南鎮,竹南里,98,9.29%
苗栗縣,竹南鎮,照南里,275,16.94%
苗栗縣,竹南鎮,正南里,176,13.63%
苗栗縣,竹南鎮,新南里,542,21.46%
苗栗縣,竹南鎮,大厝里,294,11.82%
苗栗縣,竹南鎮,營盤里,174,10.87%
苗栗縣,竹南鎮,聖福里,77,6.30%
苗栗縣,竹南鎮,竹興里,169,12.43%
苗栗縣,竹南鎮,龍鳳里,83,9.22%
苗栗縣,竹南鎮,山佳里,464,18.44%
苗栗縣,竹南鎮,中港里,99,16.50%
苗栗縣,竹南鎮,中華里,103,8.08%
苗栗縣,竹南鎮,中英里,41,6.80%
