縣市,鄉鎮市區,109H2宅數,109H2比率(%)
臺南市,全區,60402,8.58
臺南市,新營區,2992,9.61
臺南市,鹽水區,1339,13.70
臺南市,白河區,1015,9.56
臺南市,柳營區,851,10.89
臺南市,後壁區,1092,12.16
臺南市,東山區,747,10.61
臺南市,麻豆區,1564,9.62
臺南市,下營區,804,10.17
臺南市,六甲區,941,11.68
臺南市,官田區,1047,11.91
臺南市,大內區,411,12.10
臺南市,佳里區,1643,7.89
臺南市,學甲區,1031,11.52
臺南市,西港區,705,8.92
臺南市,七股區,721,11.19
臺南市,將軍區,861,14.13
臺南市,北門區,417,15.02
臺南市,新化區,1288,8.44
臺南市,善化區,1817,8.47
臺南市,新市區,1237,8.17
臺南市,安定區,787,7.87
臺南市,山上區,217,9.08
臺南市,玉井區,693,13.58
臺南市,楠西區,563,17.66
臺南市,南化區,330,14.03
臺南市,左鎮區,300,19.25
臺南市,仁德區,1776,6.43
臺南市,歸仁區,1491,6.57
臺南市,關廟區,887,7.96
臺南市,龍崎區,228,19.10
臺南市,永康區,5581,6.08
臺南市,東區,6614,8.79
臺南市,南區,3275,7.28
臺南市,北區,4460,8.19
臺南市,安南區,3713,6.02
臺南市,安平區,2442,8.46
臺南市,中西區,4522,12.80
