縣市,鄉鎮市區,110H2宅數,110H2比率(%)
臺南市,全區,60781,8.50
臺南市,新營區,2958,9.36
臺南市,鹽水區,1186,12.08
臺南市,白河區,1009,9.47
臺南市,柳營區,837,10.59
臺南市,後壁區,1074,11.96
臺南市,東山區,746,10.56
臺南市,麻豆區,1644,10.01
臺南市,下營區,777,9.72
臺南市,六甲區,906,11.05
臺南市,官田區,1027,11.58
臺南市,大內區,387,11.38
臺南市,佳里區,1593,7.52
臺南市,學甲區,1097,12.00
臺南市,西港區,670,8.10
臺南市,七股區,707,10.90
臺南市,將軍區,841,13.77
臺南市,北門區,414,14.90
臺南市,新化區,1276,8.31
臺南市,善化區,2177,9.73
臺南市,新市區,955,6.23
臺南市,安定區,765,7.51
臺南市,山上區,227,9.45
臺南市,玉井區,708,13.71
臺南市,楠西區,539,16.81
臺南市,南化區,377,16.03
臺南市,左鎮區,318,20.34
臺南市,仁德區,2503,8.61
臺南市,歸仁區,1415,6.05
臺南市,關廟區,812,7.18
臺南市,龍崎區,223,18.70
臺南市,永康區,5575,5.99
臺南市,東區,6134,8.13
臺南市,南區,3223,7.08
臺南市,北區,4362,7.98
臺南市,安南區,4312,6.77
臺南市,安平區,2395,8.08
臺南市,中西區,4612,12.98
