縣市,鄉鎮市區,102宅數,102比率(%)
臺南市,全區,61717,9.51
臺南市,新營區,2998,10.25
臺南市,鹽水區,1245,13.29
臺南市,白河區,909,8.82
臺南市,柳營區,702,9.89
臺南市,後壁區,967,10.93
臺南市,東山區,706,10.36
臺南市,麻豆區,1686,11.07
臺南市,下營區,734,9.63
臺南市,六甲區,785,10.32
臺南市,官田區,988,12.39
臺南市,大內區,335,10.22
臺南市,佳里區,1692,8.81
臺南市,學甲區,983,11.65
臺南市,西港區,702,9.73
臺南市,七股區,759,12.14
臺南市,將軍區,757,12.96
臺南市,北門區,370,13.66
臺南市,新化區,1235,8.46
臺南市,善化區,1691,10.45
臺南市,新市區,913,7.50
臺南市,安定區,802,8.91
臺南市,山上區,175,7.82
臺南市,玉井區,681,13.90
臺南市,楠西區,459,14.88
臺南市,南化區,326,14.30
臺南市,左鎮區,326,21.14
臺南市,仁德區,2165,8.66
臺南市,歸仁區,1307,6.26
臺南市,關廟區,644,6.35
臺南市,龍崎區,264,22.31
臺南市,永康區,6621,7.92
臺南市,東區,7227,9.98
臺南市,南區,3374,8.16
臺南市,北區,4979,9.75
臺南市,安南區,4055,7.39
臺南市,安平區,2435,9.64
臺南市,中西區,4720,13.87
