縣市,鄉鎮市區,111H1宅數,111H1比率(%)
臺南市,全區,66840,9.29
臺南市,新營區,3289,10.39
臺南市,鹽水區,1250,12.81
臺南市,白河區,1388,13.51
臺南市,柳營區,970,12.21
臺南市,後壁區,1188,13.25
臺南市,東山區,1013,14.35
臺南市,麻豆區,1878,11.35
臺南市,下營區,911,11.41
臺南市,六甲區,983,11.97
臺南市,官田區,1086,12.19
臺南市,大內區,376,11.04
臺南市,佳里區,1926,9.00
臺南市,學甲區,1111,12.09
臺南市,西港區,746,8.96
臺南市,七股區,775,11.86
臺南市,將軍區,847,13.85
臺南市,北門區,480,17.26
臺南市,新化區,1294,8.39
臺南市,善化區,1795,7.91
臺南市,新市區,1030,6.66
臺南市,安定區,877,8.51
臺南市,山上區,289,11.74
臺南市,玉井區,735,14.19
臺南市,楠西區,588,18.33
臺南市,南化區,385,16.32
臺南市,左鎮區,306,19.57
臺南市,仁德區,2324,7.95
臺南市,歸仁區,1554,6.61
臺南市,關廟區,796,7.03
臺南市,龍崎區,232,19.40
臺南市,永康區,6671,7.13
臺南市,東區,6452,8.56
臺南市,南區,3545,7.74
臺南市,北區,4681,8.56
臺南市,安南區,5191,7.92
臺南市,安平區,2899,9.64
臺南市,中西區,4979,13.99
