縣市,鄉鎮市區,103宅數,103比率(%)
臺南市,全區,60496,9.24
臺南市,新營區,3005,10.15
臺南市,鹽水區,1226,13.06
臺南市,白河區,933,9.02
臺南市,柳營區,694,9.63
臺南市,後壁區,897,10.12
臺南市,東山區,667,9.77
臺南市,麻豆區,1704,11.10
臺南市,下營區,741,9.63
臺南市,六甲區,795,10.45
臺南市,官田區,944,11.79
臺南市,大內區,322,9.83
臺南市,佳里區,1720,8.81
臺南市,學甲區,995,11.76
臺南市,西港區,680,9.29
臺南市,七股區,677,10.78
臺南市,將軍區,711,12.07
臺南市,北門區,375,13.80
臺南市,新化區,1248,8.53
臺南市,善化區,1688,10.08
臺南市,新市區,871,7.07
臺南市,安定區,791,8.72
臺南市,山上區,146,6.51
臺南市,玉井區,644,13.17
臺南市,楠西區,433,14.03
臺南市,南化區,296,12.95
臺南市,左鎮區,311,20.13
臺南市,仁德區,1959,7.75
臺南市,歸仁區,1236,5.86
臺南市,關廟區,638,6.27
臺南市,龍崎區,224,18.91
臺南市,永康區,6382,7.58
臺南市,東區,7142,9.79
臺南市,南區,3337,8.00
臺南市,北區,4862,9.46
臺南市,安南區,3952,7.08
臺南市,安平區,2688,10.41
臺南市,中西區,4562,13.34
