縣市,鄉鎮市區,112H1宅數,112H1比率(%)
臺南市,全區,67648,9.28
臺南市,新營區,3258,10.18
臺南市,鹽水區,1234,12.63
臺南市,白河區,1453,14.08
臺南市,柳營區,950,11.78
臺南市,後壁區,1152,12.83
臺南市,東山區,1030,14.53
臺南市,麻豆區,1891,11.23
臺南市,下營區,892,11.15
臺南市,六甲區,874,10.60
臺南市,官田區,1114,12.41
臺南市,大內區,387,12.16
臺南市,佳里區,1868,8.61
臺南市,學甲區,1133,12.17
臺南市,西港區,854,9.85
臺南市,七股區,746,11.20
臺南市,將軍區,868,14.13
臺南市,北門區,483,17.31
臺南市,新化區,1494,9.41
臺南市,善化區,2234,9.73
臺南市,新市區,1133,7.19
臺南市,安定區,944,8.88
臺南市,山上區,240,9.57
臺南市,玉井區,774,14.80
臺南市,楠西區,583,18.15
臺南市,南化區,383,16.24
臺南市,左鎮區,349,21.87
臺南市,仁德區,2005,6.79
臺南市,歸仁區,2087,8.60
臺南市,關廟區,890,7.75
臺南市,龍崎區,216,18.05
臺南市,永康區,6461,6.84
臺南市,東區,6572,8.68
臺南市,南區,3563,7.72
臺南市,北區,4624,8.34
臺南市,安南區,5184,7.69
臺南市,安平區,2760,9.07
臺南市,中西區,4965,13.88
