縣市,鄉鎮市區,106宅數,106比率(%)
臺南市,全區,63037,9.32
臺南市,新營區,2864,9.44
臺南市,鹽水區,1243,13.10
臺南市,白河區,913,8.70
臺南市,柳營區,793,10.61
臺南市,後壁區,942,10.60
臺南市,東山區,691,9.98
臺南市,麻豆區,1733,11.01
臺南市,下營區,754,9.65
臺南市,六甲區,821,10.59
臺南市,官田區,967,11.52
臺南市,大內區,386,11.62
臺南市,佳里區,1597,7.96
臺南市,學甲區,1030,11.92
臺南市,西港區,687,9.18
臺南市,七股區,779,12.24
臺南市,將軍區,824,13.79
臺南市,北門區,407,14.81
臺南市,新化區,1290,8.72
臺南市,善化區,2139,11.21
臺南市,新市區,1309,9.72
臺南市,安定區,836,8.82
臺南市,山上區,199,8.56
臺南市,玉井區,718,14.37
臺南市,楠西區,470,14.99
臺南市,南化區,349,15.24
臺南市,左鎮區,379,24.42
臺南市,仁德區,1763,6.69
臺南市,歸仁區,1314,6.07
臺南市,關廟區,679,6.42
臺南市,龍崎區,269,22.69
臺南市,永康區,6466,7.40
臺南市,東區,7093,9.62
臺南市,南區,3543,8.25
臺南市,北區,5014,9.41
臺南市,安南區,3879,6.65
臺南市,安平區,3218,11.66
臺南市,中西區,4679,13.65
