縣市,鄉鎮市區,112H2宅數,112H2比率(%)
臺南市,全區,71461,9.00
臺南市,新營區,3193,9.00
臺南市,鹽水區,1252,12.00
臺南市,白河區,1417,13.00
臺南市,柳營區,982,12.00
臺南市,後壁區,1367,15.00
臺南市,東山區,1021,14.00
臺南市,麻豆區,1979,11.00
臺南市,下營區,879,10.00
臺南市,六甲區,975,11.00
臺南市,官田區,1214,13.00
臺南市,大內區,570,17.00
臺南市,佳里區,1961,8.00
臺南市,學甲區,1206,12.00
臺南市,西港區,890,10.00
臺南市,七股區,859,12.00
臺南市,將軍區,927,15.00
臺南市,北門區,463,16.00
臺南市,新化區,1522,9.00
臺南市,善化區,2562,10.00
臺南市,新市區,1996,12.00
臺南市,安定區,1138,10.00
臺南市,山上區,253,10.00
臺南市,玉井區,767,14.00
臺南市,楠西區,613,19.00
臺南市,南化區,373,15.00
臺南市,左鎮區,361,22.00
臺南市,仁德區,2332,7.00
臺南市,歸仁區,2807,11.00
臺南市,關廟區,935,8.00
臺南市,龍崎區,235,19.00
臺南市,永康區,6458,6.00
臺南市,東區,6903,9.00
臺南市,南區,3605,7.00
臺南市,北區,5237,9.00
臺南市,安南區,5300,7.00
臺南市,安平區,2294,7.00
臺南市,中西區,4615,12.00
