縣市,鄉鎮市區,105宅數,105比率(%)
臺南市,全區,61262,9.16
臺南市,新營區,2949,9.77
臺南市,鹽水區,1194,12.61
臺南市,白河區,900,8.63
臺南市,柳營區,745,10.14
臺南市,後壁區,957,10.81
臺南市,東山區,687,9.95
臺南市,麻豆區,1626,10.39
臺南市,下營區,739,9.53
臺南市,六甲區,827,10.70
臺南市,官田區,1016,12.29
臺南市,大內區,370,11.26
臺南市,佳里區,1607,8.06
臺南市,學甲區,1030,11.97
臺南市,西港區,650,8.76
臺南市,七股區,770,12.16
臺南市,將軍區,819,13.73
臺南市,北門區,401,14.61
臺南市,新化區,1186,8.03
臺南市,善化區,1841,10.05
臺南市,新市區,1245,9.53
臺南市,安定區,863,9.19
臺南市,山上區,180,7.94
臺南市,玉井區,757,15.23
臺南市,楠西區,467,14.95
臺南市,南化區,339,14.87
臺南市,左鎮區,365,23.53
臺南市,仁德區,1961,7.53
臺南市,歸仁區,1245,5.80
臺南市,關廟區,658,6.28
臺南市,龍崎區,270,22.86
臺南市,永康區,6836,7.96
臺南市,東區,6780,9.23
臺南市,南區,3215,7.59
臺南市,北區,5032,9.49
臺南市,安南區,3983,6.89
臺南市,安平區,2575,9.76
臺南市,中西區,4177,12.28
