縣市,鄉鎮市區,099宅數,099比率(%)
臺南市,全區,64110,10.14
臺南市,新營區,3005,10.48
臺南市,鹽水區,1216,13.01
臺南市,白河區,838,8.20
臺南市,柳營區,641,9.07
臺南市,後壁區,951,10.70
臺南市,東山區,689,9.95
臺南市,麻豆區,1635,10.96
臺南市,下營區,730,9.61
臺南市,六甲區,769,10.16
臺南市,官田區,907,11.64
臺南市,大內區,326,9.98
臺南市,佳里區,1677,9.00
臺南市,學甲區,1018,12.20
臺南市,西港區,668,9.24
臺南市,七股區,720,11.54
臺南市,將軍區,726,12.36
臺南市,北門區,319,11.88
臺南市,新化區,1340,9.26
臺南市,善化區,1697,11.34
臺南市,新市區,1018,8.66
臺南市,安定區,960,10.84
臺南市,山上區,178,8.04
臺南市,玉井區,740,15.23
臺南市,楠西區,466,15.23
臺南市,南化區,323,14.18
臺南市,左鎮區,314,20.45
臺南市,仁德區,1958,8.42
臺南市,歸仁區,1424,7.08
臺南市,關廟區,613,6.08
臺南市,龍崎區,257,21.73
臺南市,永康區,7628,9.50
臺南市,東區,7819,11.05
臺南市,南區,3465,8.47
臺南市,北區,5429,10.83
臺南市,安南區,4281,8.30
臺南市,安平區,3048,12.32
臺南市,中西區,4317,12.81
