縣市,鄉鎮市區,101宅數,101比率(%)
臺南市,全區,63582,9.84
臺南市,新營區,2980,10.23
臺南市,鹽水區,1226,13.09
臺南市,白河區,907,8.72
臺南市,柳營區,664,9.36
臺南市,後壁區,933,10.54
臺南市,東山區,697,10.19
臺南市,麻豆區,1674,11.03
臺南市,下營區,729,9.57
臺南市,六甲區,795,10.46
臺南市,官田區,1000,12.57
臺南市,大內區,343,10.51
臺南市,佳里區,1765,9.23
臺南市,學甲區,1009,12.00
臺南市,西港區,676,9.36
臺南市,七股區,775,12.32
臺南市,將軍區,731,12.44
臺南市,北門區,364,13.43
臺南市,新化區,1243,8.54
臺南市,善化區,1667,10.47
臺南市,新市區,995,8.28
臺南市,安定區,887,9.87
臺南市,山上區,159,7.16
臺南市,玉井區,676,13.79
臺南市,楠西區,470,15.26
臺南市,南化區,324,14.17
臺南市,左鎮區,325,21.07
臺南市,仁德區,2768,11.21
臺南市,歸仁區,1392,6.72
臺南市,關廟區,650,6.42
臺南市,龍崎區,245,20.58
臺南市,永康區,7271,8.73
臺南市,東區,7239,10.01
臺南市,南區,3530,8.54
臺南市,北區,5141,10.07
臺南市,安南區,4172,7.76
臺南市,安平區,2513,9.98
臺南市,中西區,4647,13.68
