縣市,鄉鎮市區,村里,101年第二季宅數
屏東縣,屏東市,光榮里,0
屏東縣,屏東市,文明里,0
屏東縣,屏東市,武廟里,0
屏東縣,屏東市,大同里,0
屏東縣,屏東市,泰安里,1
屏東縣,屏東市,端正里,0
屏東縣,屏東市,民權里,0
屏東縣,屏東市,大埔里,0
屏東縣,屏東市,必信里,1
屏東縣,屏東市,崇智里,0
屏東縣,屏東市,崇禮里,0
屏東縣,屏東市,維新里,0
屏東縣,屏東市,安樂里,0
屏東縣,屏東市,平和里,0
屏東縣,屏東市,楠樹里,0
屏東縣,屏東市,扶風里,0
屏東縣,屏東市,慶春里,0
屏東縣,屏東市,金泉里,0
屏東縣,屏東市,勝豐里,0
屏東縣,屏東市,橋南里,1
屏東縣,屏東市,橋北里,0
屏東縣,屏東市,長春里,0
屏東縣,屏東市,豐榮里,0
屏東縣,屏東市,豐源里,4
屏東縣,屏東市,豐田里,0
屏東縣,屏東市,大連里,1
屏東縣,屏東市,湖西里,0
屏東縣,屏東市,湖南里,0
屏東縣,屏東市,歸心里,0
屏東縣,屏東市,瑞光里,1
屏東縣,屏東市,新生里,2
屏東縣,屏東市,頂宅里,0
屏東縣,屏東市,厚生里,0
屏東縣,屏東市,擇仁里,0
屏東縣,屏東市,建國里,0
屏東縣,屏東市,一心里,0
屏東縣,屏東市,萬年里,0
屏東縣,屏東市,義勇里,0
屏東縣,屏東市,光華里,0
屏東縣,屏東市,永安里,3
屏東縣,屏東市,新興里,0
屏東縣,屏東市,公館里,0
屏東縣,屏東市,龍華里,1
屏東縣,屏東市,玉成里,0
屏東縣,屏東市,頂柳里,0
屏東縣,屏東市,大湖里,0
屏東縣,屏東市,凌雲里,0
屏東縣,屏東市,鵬程里,0
屏東縣,屏東市,安鎮里,11
屏東縣,屏東市,永光里,0
屏東縣,屏東市,大洲里,0
屏東縣,屏東市,大武里,3
屏東縣,屏東市,前進里,0
屏東縣,屏東市,清溪里,3
屏東縣,屏東市,長安里,0
屏東縣,屏東市,永順里,0
屏東縣,屏東市,永昌里,0
屏東縣,屏東市,斯文里,0
屏東縣,屏東市,華山里,1
屏東縣,屏東市,興樂里,0
屏東縣,屏東市,明正里,0
屏東縣,屏東市,太平里,0
屏東縣,屏東市,中正里,6
屏東縣,屏東市,勝利里,12
屏東縣,屏東市,永城里,8
屏東縣,屏東市,溝美里,4
屏東縣,屏東市,北勢里,0
屏東縣,屏東市,北興里,0
屏東縣,屏東市,仁愛里,3
屏東縣,屏東市,廣興里,0
屏東縣,屏東市,崇蘭里,0
屏東縣,屏東市,空翔里,2
屏東縣,屏東市,潭墘里,4
屏東縣,屏東市,三山里,0
屏東縣,屏東市,海豐里,0
屏東縣,屏東市,仁義里,0
屏東縣,屏東市,和興里,0
屏東縣,屏東市,信和里,0
屏東縣,屏東市,崇武里,0
屏東縣,潮州鎮,潮州里,0
屏東縣,潮州鎮,同榮里,0
屏東縣,潮州鎮,新榮里,0
