縣市,鄉鎮市區,村里,101年第三季宅數
南投縣,南投市,龍泉里,0
南投縣,南投市,康壽里,0
南投縣,南投市,三民里,0
南投縣,南投市,仁和里,0
南投縣,南投市,南投里,0
南投縣,南投市,彰仁里,0
南投縣,南投市,崇文里,0
南投縣,南投市,漳興里,0
南投縣,南投市,漳和里,0
南投縣,南投市,軍功里,0
南投縣,南投市,東山里,0
南投縣,南投市,平和里,2
南投縣,南投市,振興里,0
南投縣,南投市,千秋里,1
南投縣,南投市,三興里,2
南投縣,南投市,三和里,0
南投縣,南投市,嘉興里,0
南投縣,南投市,嘉和里,2
南投縣,南投市,福山里,0
南投縣,南投市,永興里,0
南投縣,南投市,鳳鳴里,2
南投縣,南投市,鳳山里,0
南投縣,南投市,平山里,6
南投縣,南投市,新興里,8
南投縣,南投市,永豐里,0
南投縣,南投市,福興里,0
南投縣,南投市,營北里,15
南投縣,南投市,營南里,0
南投縣,南投市,內興里,35
南投縣,南投市,內新里,1
南投縣,南投市,光華里,0
南投縣,南投市,光榮里,0
南投縣,南投市,光明里,0
南投縣,南投市,光輝里,0
南投縣,埔里鎮,東門里,0
南投縣,埔里鎮,南門里,0
南投縣,埔里鎮,西門里,0
南投縣,埔里鎮,北門里,0
南投縣,埔里鎮,同聲里,0
南投縣,埔里鎮,薰化里,0
南投縣,埔里鎮,清新里,0
南投縣,埔里鎮,大城里,0
南投縣,埔里鎮,籃城里,0
南投縣,埔里鎮,枇杷里,0
南投縣,埔里鎮,水頭里,0
南投縣,埔里鎮,麒麟里,0
南投縣,埔里鎮,珠格里,0
南投縣,埔里鎮,溪南里,0
南投縣,埔里鎮,桃米里,0
南投縣,埔里鎮,成功里,0
南投縣,埔里鎮,南村里,0
南投縣,埔里鎮,愛蘭里,0
南投縣,埔里鎮,鐵山里,0
南投縣,埔里鎮,房里里,0
南投縣,埔里鎮,向善里,0
南投縣,埔里鎮,一新里,0
南投縣,埔里鎮,廣成里,0
南投縣,埔里鎮,史港里,0
南投縣,埔里鎮,福興里,0
南投縣,埔里鎮,牛眠里,0
南投縣,埔里鎮,大湳里,0
南投縣,埔里鎮,蜈蚣里,0
南投縣,埔里鎮,合成里,0
南投縣,埔里鎮,北安里,0
南投縣,埔里鎮,杷城里,0
南投縣,埔里鎮,北梅里,0
南投縣,埔里鎮,泰安里,0
南投縣,草屯鎮,玉峰里,0
南投縣,草屯鎮,炎峰里,0
南投縣,草屯鎮,和平里,0
南投縣,草屯鎮,敦和里,7
南投縣,草屯鎮,山腳里,18
南投縣,草屯鎮,富寮里,1
南投縣,草屯鎮,御史里,0
南投縣,草屯鎮,新豐里,4
南投縣,草屯鎮,碧峰里,1
南投縣,草屯鎮,碧洲里,0
南投縣,草屯鎮,復興里,0
南投縣,草屯鎮,上林里,3
南投縣,草屯鎮,新庄里,2
南投縣,草屯鎮,北投里,0
南投縣,草屯鎮,石川里,1
南投縣,草屯鎮,加老里,0
南投縣,草屯鎮,北勢里,0
南投縣,草屯鎮,中原里,0
南投縣,草屯鎮,南埔里,0
南投縣,草屯鎮,土城里,0
南投縣,草屯鎮,坪頂里,0
南投縣,草屯鎮,雙冬里,0
南投縣,草屯鎮,平林里,0
南投縣,草屯鎮,中正里,0
南投縣,草屯鎮,中山里,0
南投縣,草屯鎮,明正里,0
南投縣,草屯鎮,新厝里,10
南投縣,竹山鎮,竹山里,2
南投縣,竹山鎮,中正里,0
南投縣,竹山鎮,中山里,0
南投縣,竹山鎮,雲林里,0
南投縣,竹山鎮,??里,0
南投縣,竹山鎮,下坪里,0
南投縣,竹山鎮,桂林里,0
南投縣,竹山鎮,中和里,0
南投縣,竹山鎮,中崎里,0
南投縣,竹山鎮,德興里,0
南投縣,竹山鎮,延平里,0
南投縣,竹山鎮,延正里,0
南投縣,竹山鎮,延山里,0
南投縣,竹山鎮,延和里,0
南投縣,竹山鎮,山崇里,0
南投縣,竹山鎮,社寮里,0
南投縣,竹山鎮,中央里,0
南投縣,竹山鎮,富州里,0
南投縣,竹山鎮,大鞍里,0
南投縣,竹山鎮,田子里,0
南投縣,竹山鎮,福興里,0
南投縣,竹山鎮,鯉魚里,0
南投縣,竹山鎮,瑞竹里,0
南投縣,竹山鎮,坪頂里,0
南投縣,竹山鎮,桶頭里,0
南投縣,竹山鎮,秀林里,0
