縣市,鄉鎮市區,村里,106年宅數,106年比例
宜蘭縣,宜蘭市,神農里,186,12.74%
宜蘭縣,宜蘭市,民權里,125,13.44%
宜蘭縣,宜蘭市,進士里,167,13.07%
宜蘭縣,宜蘭市,南橋里,70,14.15%
宜蘭縣,宜蘭市,建業里,156,17.35%
宜蘭縣,宜蘭市,南津里,317,24.65%
宜蘭縣,宜蘭市,凱旋里,64,13.64%
宜蘭縣,宜蘭市,黎明里,113,14.43%
宜蘭縣,宜蘭市,東村里,104,10.55%
宜蘭縣,宜蘭市,延平里,199,13.71%
宜蘭縣,宜蘭市,七張里,41,8.37%
宜蘭縣,宜蘭市,慈安里,104,11.27%
宜蘭縣,宜蘭市,新民里,152,17.78%
宜蘭縣,宜蘭市,東門里,95,16.15%
宜蘭縣,宜蘭市,小東里,197,22.98%
宜蘭縣,宜蘭市,菜園里,90,12.75%
宜蘭縣,宜蘭市,孝廉里,118,18.06%
宜蘭縣,宜蘭市,新生里,174,14.70%
宜蘭縣,宜蘭市,茭白里,112,11.60%
宜蘭縣,宜蘭市,北津里,150,14.54%
宜蘭縣,宜蘭市,梅洲里,176,13.82%
宜蘭縣,宜蘭市,北門里,89,15.75%
宜蘭縣,宜蘭市,中山里,107,18.89%
宜蘭縣,宜蘭市,西門里,114,14.07%
宜蘭縣,宜蘭市,南門里,114,16.76%
宜蘭縣,宜蘭市,負郭里,162,11.17%
宜蘭縣,宜蘭市,民族里,165,14.53%
宜蘭縣,宜蘭市,建軍里,77,9.26%
宜蘭縣,宜蘭市,思源里,281,11.51%
宜蘭縣,宜蘭市,文化里,187,11.97%
宜蘭縣,宜蘭市,復興里,163,10.35%
宜蘭縣,宜蘭市,成功里,393,27.62%
宜蘭縣,宜蘭市,新東里,232,16.36%
宜蘭縣,宜蘭市,七結里,353,28.81%
宜蘭縣,宜蘭市,泰山里,159,17.07%
宜蘭縣,宜蘭市,大新里,143,31.58%
宜蘭縣,宜蘭市,中興里,260,19.70%
宜蘭縣,宜蘭市,擺厘里,516,28.07%
宜蘭縣,羅東鎮,大新里,141,15.31%
宜蘭縣,羅東鎮,東安里,228,12.91%
宜蘭縣,羅東鎮,新群里,145,12.15%
宜蘭縣,羅東鎮,羅莊里,174,11.59%
宜蘭縣,羅東鎮,南昌里,146,11.93%
宜蘭縣,羅東鎮,南豪里,47,8.43%
宜蘭縣,羅東鎮,成功里,71,9.67%
宜蘭縣,羅東鎮,仁德里,84,12.58%
宜蘭縣,羅東鎮,漢民里,212,12.27%
宜蘭縣,羅東鎮,西安里,117,9.78%
宜蘭縣,羅東鎮,北成里,186,13.06%
宜蘭縣,羅東鎮,賢文里,196,11.63%
宜蘭縣,羅東鎮,公正里,102,8.45%
宜蘭縣,羅東鎮,集祥里,52,10.92%
宜蘭縣,羅東鎮,信義里,160,11.23%
宜蘭縣,羅東鎮,竹林里,78,7.07%
宜蘭縣,羅東鎮,仁愛里,145,10.34%
宜蘭縣,羅東鎮,樹林里,138,9.29%
宜蘭縣,羅東鎮,國華里,197,9.98%
宜蘭縣,羅東鎮,維揚里,98,8.18%
宜蘭縣,羅東鎮,開明里,96,13.19%
宜蘭縣,羅東鎮,中山里,116,14.65%
宜蘭縣,羅東鎮,仁和里,79,13.87%
宜蘭縣,蘇澳鎮,龍德里,195,13.50%
宜蘭縣,蘇澳鎮,頂寮里,36,10.61%
宜蘭縣,蘇澳鎮,永榮里,199,12.86%
宜蘭縣,蘇澳鎮,存仁里,52,14.40%
宜蘭縣,蘇澳鎮,港邊里,147,24.31%
宜蘭縣,蘇澳鎮,隘丁里,191,15.35%
宜蘭縣,蘇澳鎮,新城里,86,15.32%
宜蘭縣,蘇澳鎮,聖湖里,84,9.35%
宜蘭縣,蘇澳鎮,蘇西里,172,14.91%
宜蘭縣,蘇澳鎮,蘇北里,105,18.91%
宜蘭縣,蘇澳鎮,蘇南里,54,21.29%
宜蘭縣,蘇澳鎮,蘇東里,139,29.57%
宜蘭縣,蘇澳鎮,長安里,106,28.00%
宜蘭縣,蘇澳鎮,永光里,71,24.41%
宜蘭縣,蘇澳鎮,永春里,91,26.56%
宜蘭縣,蘇澳鎮,永樂里,67,24.47%
宜蘭縣,蘇澳鎮,南安里,30,7.74%
宜蘭縣,蘇澳鎮,南正里,66,15.23%
宜蘭縣,蘇澳鎮,南成里,58,14.00%
宜蘭縣,蘇澳鎮,南興里,66,12.44%
宜蘭縣,蘇澳鎮,南寧里,55,14.65%
宜蘭縣,蘇澳鎮,南建里,52,10.71%
宜蘭縣,蘇澳鎮,東澳里,42,26.23%
宜蘭縣,蘇澳鎮,南強里,57,14.29%
宜蘭縣,蘇澳鎮,朝陽里,49,15.70%
宜蘭縣,蘇澳鎮,聖愛里,165,13.24%
宜蘭縣,頭城鎮,石城里,45,30.21%
宜蘭縣,頭城鎮,大里里,60,17.19%
宜蘭縣,頭城鎮,大溪里,101,22.22%
宜蘭縣,頭城鎮,合興里,67,31.95%
宜蘭縣,頭城鎮,更新里,97,17.94%
宜蘭縣,頭城鎮,外澳里,121,29.11%
宜蘭縣,頭城鎮,港口里,68,21.43%
宜蘭縣,頭城鎮,武營里,110,15.24%
宜蘭縣,頭城鎮,大坑里,301,36.48%
宜蘭縣,頭城鎮,城東里,63,15.70%
宜蘭縣,頭城鎮,城北里,25,9.05%
宜蘭縣,頭城鎮,城西里,36,12.78%
