縣市,鄉鎮市區,110Q2宅數
臺北市,全區,3846
臺北市,松山區,148
臺北市,信義區,101
臺北市,大安區,308
臺北市,中山區,495
臺北市,中正區,694
臺北市,大同區,314
臺北市,萬華區,349
臺北市,文山區,431
臺北市,南港區,102
臺北市,內湖區,323
臺北市,士林區,193
臺北市,北投區,388
