縣市,鄉鎮市區,村里,103年宅數,103年比例
嘉義市,東區,荖藤里,0,11.93%
嘉義市,東區,後湖里,0,9.95%
嘉義市,東區,仁義里,108,8.36%
嘉義市,東區,中庄里,0,11.28%
嘉義市,東區,頂庄里,0,8.04%
嘉義市,東區,圳頭里,0,10.96%
嘉義市,東區,新店里,163,9.26%
嘉義市,東區,後庄里,0,9.09%
嘉義市,東區,王田里,0,9.67%
嘉義市,東區,東川里,0,6.45%
嘉義市,東區,太平里,0,8.28%
嘉義市,東區,盧厝里,0,15.93%
嘉義市,東區,鹿寮里,0,9.52%
嘉義市,東區,長竹里,0,9.13%
嘉義市,東區,短竹里,0,10.34%
嘉義市,東區,新開里,0,13.97%
嘉義市,東區,宣信里,0,6.34%
嘉義市,東區,興南里,0,18.66%
嘉義市,東區,豐年里,0,11.11%
嘉義市,東區,芳草里,0,15.38%
嘉義市,東區,芳安里,136,14.07%
嘉義市,東區,頂寮里,0,20.00%
嘉義市,東區,安寮里,0,12.00%
嘉義市,東區,興安里,79,8.98%
嘉義市,東區,興村里,0,7.60%
嘉義市,東區,興仁里,138,8.91%
嘉義市,東區,過溝里,0,15.49%
嘉義市,東區,民族里,0,14.04%
嘉義市,東區,朝陽里,0,12.75%
嘉義市,東區,華南里,0,19.11%
嘉義市,東區,東興里,0,19.15%
嘉義市,東區,中山里,0,20.00%
嘉義市,東區,中央里,0,17.41%
嘉義市,東區,林森里,0,15.84%
嘉義市,東區,北門里,0,19.13%
嘉義市,東區,蘭潭里,0,18.10%
嘉義市,東區,文雅里,0,25.00%
嘉義市,東區,安業里,0,13.68%
嘉義市,東區,義教里,0,12.16%
嘉義市,西區,香湖里,0,0.00%
嘉義市,西區,湖邊里,0,0.00%
嘉義市,西區,北榮里,0,0.00%
嘉義市,西區,重興里,0,0.00%
嘉義市,西區,竹圍里,0,0.00%
嘉義市,西區,新厝里,0,50.00%
嘉義市,西區,保安里,0,50.00%
嘉義市,西區,北湖里,0,7.69%
嘉義市,西區,下埤里,0,100.00%
嘉義市,西區,竹村里,0,0.00%
嘉義市,西區,大溪里,115,14.93%
嘉義市,西區,福全里,0,0.00%
嘉義市,西區,西平里,172,12.39%
嘉義市,西區,磚?里,216,12.35%
嘉義市,西區,港坪里,120,8.81%
嘉義市,西區,頭港里,60,9.61%
嘉義市,西區,劉厝里,218,7.55%
嘉義市,西區,新西里,136,14.47%
嘉義市,西區,書院里,0,0.00%
嘉義市,西區,培元里,0,50.00%
嘉義市,西區,垂楊里,135,13.33%
嘉義市,西區,車店里,0,0.00%
嘉義市,西區,福民里,242,11.65%
嘉義市,西區,湖內里,0,0.00%
嘉義市,西區,美源里,0,0.00%
嘉義市,西區,育英里,0,0.00%
嘉義市,西區,致遠里,0,0.00%
嘉義市,西區,光路里,0,0.00%
嘉義市,西區,翠岱里,0,0.00%
嘉義市,西區,自強里,0,50.00%
嘉義市,西區,永和里,0,25.00%
嘉義市,西區,新富里,0,0.00%
嘉義市,西區,文化里,0,0.00%
嘉義市,西區,西榮里,0,33.33%
嘉義市,西區,國華里,0,0.00%
嘉義市,西區,番社里,0,0.00%
嘉義市,西區,導明里,0,0.00%
嘉義市,西區,慶安里,0,0.00%
嘉義市,西區,後驛里,0,0.00%
嘉義市,西區,福安里,0,0.00%
嘉義市,西區,獅子里,0,0.00%
嘉義市,西區,紅瓦里,0,100.00%
嘉義市,西區,保福里,0,0.00%
嘉義市,西區,保生里,0,0.00%
嘉義市,西區,北新里,0,0.00%
