縣市,鄉鎮市區,101宅數,101比率(%)
高雄市,全區,100374,10.07
高雄市,鹽埕區,1565,13.34
高雄市,鼓山區,5824,10.59
高雄市,左營區,7418,9.79
高雄市,楠梓區,7165,11.02
高雄市,三民區,11622,8.88
高雄市,新興區,3729,14.49
高雄市,前金區,2153,14.48
高雄市,苓雅區,7694,10.96
高雄市,前鎮區,6330,8.99
高雄市,旗津區,611,8.75
高雄市,小港區,4005,8.96
高雄市,鳳山區,10456,8.38
高雄市,林園區,2241,10.26
高雄市,大寮區,3791,9.85
高雄市,大樹區,1678,12.42
高雄市,大社區,1044,8.40
高雄市,仁武區,2801,9.95
高雄市,鳥松區,2159,12.76
高雄市,岡山區,2799,8.46
高雄市,橋頭區,1561,11.62
高雄市,燕巢區,844,9.47
高雄市,田寮區,374,19.94
高雄市,阿蓮區,626,7.18
高雄市,路竹區,1379,8.15
高雄市,湖內區,1326,11.71
高雄市,茄萣區,829,9.56
高雄市,永安區,278,8.75
高雄市,彌陀區,298,5.87
高雄市,梓官區,1084,9.40
高雄市,旗山區,2288,15.54
高雄市,美濃區,1508,11.13
高雄市,六龜區,882,17.09
高雄市,甲仙區,450,18.52
高雄市,杉林區,669,16.25
高雄市,內門區,540,11.94
高雄市,茂林區,45,10.00
高雄市,桃源區,210,19.74
高雄市,那瑪夏區,98,17.15
