縣市,鄉鎮市區,111Q2宅數
嘉義縣,全區,564
嘉義縣,太保市,105
嘉義縣,朴子市,53
嘉義縣,布袋鎮,1
嘉義縣,大林鎮,60
嘉義縣,民雄鄉,111
嘉義縣,溪口鄉,6
嘉義縣,新港鄉,15
嘉義縣,六腳鄉,4
嘉義縣,東石鄉,1
嘉義縣,義竹鄉,3
嘉義縣,鹿草鄉,1
嘉義縣,水上鄉,118
嘉義縣,中埔鄉,55
嘉義縣,竹崎鄉,20
嘉義縣,梅山鄉,10
嘉義縣,番路鄉,0
嘉義縣,大埔鄉,0
嘉義縣,阿里山鄉,1
