縣市,鄉鎮市區,113Q2宅數
高雄市,全區,12165
高雄市,鹽埕區,60
高雄市,鼓山區,510
高雄市,左營區,1076
高雄市,楠梓區,1803
高雄市,三民區,2042
高雄市,新興區,96
高雄市,前金區,150
高雄市,苓雅區,693
高雄市,前鎮區,392
高雄市,旗津區,0
高雄市,小港區,371
高雄市,鳳山區,1877
高雄市,林園區,146
高雄市,大寮區,433
高雄市,大樹區,117
高雄市,大社區,90
高雄市,仁武區,739
高雄市,鳥松區,131
高雄市,岡山區,321
高雄市,橋頭區,601
高雄市,燕巢區,83
高雄市,田寮區,1
高雄市,阿蓮區,23
高雄市,路竹區,107
高雄市,湖內區,78
高雄市,茄萣區,13
高雄市,永安區,1
高雄市,彌陀區,13
高雄市,梓官區,131
高雄市,旗山區,4
高雄市,美濃區,53
高雄市,六龜區,0
高雄市,甲仙區,0
高雄市,杉林區,10
高雄市,內門區,0
高雄市,茂林區,0
高雄市,桃源區,0
高雄市,那瑪夏區,0
