縣市,鄉鎮市區,村里,107年第一季宅數
高雄市,鹽埕區,藍橋里,0
高雄市,鹽埕區,慈愛里,1
高雄市,鹽埕區,博愛里,0
高雄市,鹽埕區,壽星里,0
高雄市,鹽埕區,中山里,0
高雄市,鹽埕區,教仁里,0
高雄市,鹽埕區,新樂里,0
高雄市,鹽埕區,中原里,0
高雄市,鹽埕區,光明里,20
高雄市,鹽埕區,育仁里,0
高雄市,鹽埕區,河濱里,0
高雄市,鹽埕區,沙地里,0
高雄市,鹽埕區,南端里,51
高雄市,鹽埕區,港都里,0
高雄市,鹽埕區,江西里,0
高雄市,鹽埕區,新豐里,0
高雄市,鹽埕區,府北里,6
高雄市,鹽埕區,陸橋里,0
高雄市,鹽埕區,瀨南里,0
高雄市,鹽埕區,新化里,0
高雄市,鹽埕區,江南里,0
高雄市,鼓山區,鼓峰里,0
高雄市,鼓山區,雄峰里,0
高雄市,鼓山區,前峰里,0
高雄市,鼓山區,光榮里,115
高雄市,鼓山區,民族里,0
高雄市,鼓山區,內惟里,0
高雄市,鼓山區,建國里,3
高雄市,鼓山區,忠正里,0
高雄市,鼓山區,自強里,0
高雄市,鼓山區,龍井里,0
高雄市,鼓山區,正德里,0
高雄市,鼓山區,平和里,1
高雄市,鼓山區,民強里,0
高雄市,鼓山區,厚生里,0
高雄市,鼓山區,龍子里,377
高雄市,鼓山區,龍水里,680
高雄市,鼓山區,明誠里,125
高雄市,鼓山區,華豐里,20
高雄市,鼓山區,裕興里,0
高雄市,鼓山區,裕豐里,2
高雄市,鼓山區,鼓岩里,0
高雄市,鼓山區,樹德里,0
高雄市,鼓山區,寶樹里,0
高雄市,鼓山區,興宗里,0
高雄市,鼓山區,光化里,0
高雄市,鼓山區,山下里,0
高雄市,鼓山區,河邊里,2
高雄市,鼓山區,綠川里,0
高雄市,鼓山區,登山里,0
高雄市,鼓山區,峰南里,0
高雄市,鼓山區,麗興里,16
高雄市,鼓山區,新民里,0
高雄市,鼓山區,延平里,0
高雄市,鼓山區,維生里,0
高雄市,鼓山區,惠安里,0
高雄市,鼓山區,壽山里,0
高雄市,鼓山區,哨船頭里,1
高雄市,鼓山區,桃源里,0
高雄市,左營區,進學里,0
高雄市,左營區,尾西里,0
高雄市,左營區,頂北里,0
高雄市,左營區,中北里,0
高雄市,左營區,中南里,0
高雄市,左營區,廟東里,0
高雄市,左營區,廟北里,0
高雄市,左營區,尾南里,0
高雄市,左營區,尾北里,23
高雄市,左營區,屏山里,0
高雄市,左營區,祥和里,0
高雄市,左營區,永清里,0
高雄市,左營區,莒光里,0
高雄市,左營區,光輝里,1
高雄市,左營區,合群里,1
高雄市,左營區,明建里,0
高雄市,左營區,頂西里,0
高雄市,左營區,聖后里,0
高雄市,左營區,聖西里,16
高雄市,左營區,聖南里,0
高雄市,左營區,城南里,0
高雄市,左營區,路東里,5
高雄市,左營區,?北里,0
高雄市,左營區,?南里,0
高雄市,左營區,埤西里,0
高雄市,左營區,埤北里,0
高雄市,左營區,埤東里,1
高雄市,左營區,海勝里,0
高雄市,左營區,崇實里,0
高雄市,左營區,自助里,0
高雄市,左營區,果貿里,0
高雄市,左營區,果惠里,0
高雄市,左營區,果峰里,0
高雄市,左營區,新下里,447
高雄市,左營區,新上里,456
高雄市,左營區,新中里,0
高雄市,左營區,新光里,232
高雄市,左營區,菜公里,488
高雄市,左營區,福山里,898
高雄市,楠梓區,清豐里,255
高雄市,楠梓區,東寧里,53
高雄市,楠梓區,五常里,69
高雄市,楠梓區,享平里,3
高雄市,楠梓區,中陽里,138
高雄市,楠梓區,惠楠里,0
高雄市,楠梓區,惠民里,8
高雄市,楠梓區,惠豐里,1
高雄市,楠梓區,錦屏里,7
高雄市,楠梓區,玉屏里,8
高雄市,楠梓區,金田里,204
高雄市,楠梓區,稔田里,0
高雄市,楠梓區,瑞屏里,83
高雄市,楠梓區,翠屏里,176
高雄市,楠梓區,宏南里,0
高雄市,楠梓區,宏毅里,0
高雄市,楠梓區,宏榮里,0
高雄市,楠梓區,廣昌里,2
高雄市,楠梓區,久昌里,42
高雄市,楠梓區,大昌里,0
高雄市,楠梓區,福昌里,6
高雄市,楠梓區,盛昌里,19
高雄市,楠梓區,泰昌里,0
高雄市,楠梓區,興昌里,2
高雄市,楠梓區,建昌里,2
高雄市,楠梓區,宏昌里,3
高雄市,楠梓區,和昌里,0
高雄市,楠梓區,慶昌里,2
高雄市,楠梓區,隆昌里,0
高雄市,楠梓區,秀昌里,0
高雄市,楠梓區,裕昌里,29
高雄市,楠梓區,國昌里,2
高雄市,楠梓區,加昌里,30
高雄市,楠梓區,仁昌里,63
高雄市,楠梓區,藍田里,221
高雄市,楠梓區,中興里,8
高雄市,楠梓區,中和里,356
高雄市,三民區,安東里,3
高雄市,三民區,安和里,0
高雄市,三民區,達德里,0
高雄市,三民區,達明里,0
高雄市,三民區,達仁里,0
高雄市,三民區,達勇里,0
高雄市,三民區,同德里,0
高雄市,三民區,德智里,2
高雄市,三民區,德仁里,0
高雄市,三民區,安生里,0
高雄市,三民區,德東里,1
高雄市,三民區,德行里,0
高雄市,三民區,精華里,2
高雄市,三民區,民享里,0
高雄市,三民區,安宜里,2
高雄市,三民區,安泰里,1
高雄市,三民區,安邦里,106
高雄市,三民區,十全里,43
高雄市,三民區,十美里,1
高雄市,三民區,德北里,5
高雄市,三民區,立誠里,0
高雄市,三民區,立業里,0
高雄市,三民區,港東里,0
高雄市,三民區,港新里,49
高雄市,三民區,港西里,0
高雄市,三民區,博愛里,0
高雄市,三民區,博惠里,24
高雄市,三民區,長明里,0
高雄市,三民區,建東里,1
高雄市,三民區,興德里,10
高雄市,三民區,鳳南里,0
高雄市,三民區,鳳北里,0
高雄市,三民區,德西里,1
高雄市,三民區,豐裕里,0
高雄市,三民區,川東里,0
高雄市,三民區,裕民里,0
高雄市,三民區,力行里,0
高雄市,三民區,千歲里,15
高雄市,三民區,立德里,47
高雄市,三民區,千北里,0
高雄市,三民區,千秋里,0
高雄市,三民區,鼎金里,53
高雄市,三民區,鼎盛里,108
高雄市,三民區,鼎強里,77
高雄市,三民區,鼎力里,228
高雄市,三民區,鼎西里,144
高雄市,三民區,鼎中里,7
高雄市,三民區,鼎泰里,225
高雄市,三民區,本館里,63
高雄市,三民區,本和里,4
高雄市,三民區,本文里,4
高雄市,三民區,本武里,49
高雄市,三民區,本元里,5
高雄市,三民區,本安里,3
高雄市,三民區,本上里,10
高雄市,三民區,本揚里,80
高雄市,三民區,寶獅里,53
高雄市,三民區,寶德里,173
高雄市,三民區,寶泰里,0
