縣市,鄉鎮市區,113Q1宅數
高雄市,全區,13010
高雄市,鹽埕區,64
高雄市,鼓山區,549
高雄市,左營區,709
高雄市,楠梓區,2186
高雄市,三民區,2065
高雄市,新興區,139
高雄市,前金區,163
高雄市,苓雅區,939
高雄市,前鎮區,540
高雄市,旗津區,0
高雄市,小港區,450
高雄市,鳳山區,1892
高雄市,林園區,166
高雄市,大寮區,425
高雄市,大樹區,134
高雄市,大社區,171
高雄市,仁武區,754
高雄市,鳥松區,121
高雄市,岡山區,334
高雄市,橋頭區,678
高雄市,燕巢區,76
高雄市,田寮區,1
高雄市,阿蓮區,23
高雄市,路竹區,99
高雄市,湖內區,67
高雄市,茄萣區,15
高雄市,永安區,1
高雄市,彌陀區,48
高雄市,梓官區,124
高雄市,旗山區,6
高雄市,美濃區,61
高雄市,六龜區,0
高雄市,甲仙區,0
高雄市,杉林區,10
高雄市,內門區,0
高雄市,茂林區,0
高雄市,桃源區,0
高雄市,那瑪夏區,0
