縣市,鄉鎮市區,村里,107年宅數,107年比例
新北市,板橋區,留侯里,60,8.17%
新北市,板橋區,流芳里,70,9.69%
新北市,板橋區,赤松里,34,9.74%
新北市,板橋區,黃石里,38,9.96%
新北市,板橋區,挹秀里,191,20.67%
新北市,板橋區,湳興里,159,6.30%
新北市,板橋區,新興里,361,18.95%
新北市,板橋區,社後里,156,6.76%
新北市,板橋區,香社里,42,3.12%
新北市,板橋區,中正里,54,3.63%
新北市,板橋區,自強里,71,3.70%
新北市,板橋區,自立里,10,0.96%
新北市,板橋區,光華里,62,5.81%
新北市,板橋區,國光里,31,2.11%
新北市,板橋區,港尾里,51,4.69%
新北市,板橋區,金華里,41,2.97%
新北市,板橋區,港德里,62,3.39%
新北市,板橋區,民權里,49,4.67%
新北市,板橋區,建國里,64,4.66%
新北市,板橋區,漢生里,111,7.11%
新北市,板橋區,公?里,42,2.93%
新北市,板橋區,新民里,73,5.06%
新北市,板橋區,幸福里,49,3.30%
新北市,板橋區,忠誠里,51,3.23%
新北市,板橋區,百壽里,121,11.49%
新北市,板橋區,介壽里,56,5.10%
新北市,板橋區,新埔里,33,3.49%
新北市,板橋區,華江里,153,4.32%
新北市,板橋區,江翠里,163,7.74%
新北市,板橋區,純翠里,98,4.41%
新北市,板橋區,溪頭里,89,3.67%
新北市,板橋區,聯翠里,75,3.99%
新北市,板橋區,宏翠里,120,4.46%
新北市,板橋區,仁翠里,44,4.37%
新北市,板橋區,新翠里,255,7.79%
新北市,板橋區,吉翠里,40,3.17%
新北市,板橋區,德翠里,45,1.77%
新北市,板橋區,滿翠里,29,2.61%
新北市,板橋區,明翠里,86,4.47%
新北市,板橋區,松翠里,41,2.74%
新北市,板橋區,柏翠里,103,5.18%
新北市,板橋區,龍翠里,103,5.06%
新北市,板橋區,華翠里,34,2.66%
新北市,板橋區,忠翠里,175,3.85%
新北市,板橋區,嵐翠里,21,2.03%
新北市,板橋區,文翠里,72,4.40%
新北市,板橋區,青翠里,43,3.62%
新北市,板橋區,懷翠里,45,2.12%
新北市,板橋區,福翠里,34,6.30%
新北市,板橋區,港嘴里,79,3.32%
新北市,板橋區,振興里,63,3.92%
新北市,板橋區,振義里,65,3.90%
新北市,板橋區,光復里,86,6.04%
新北市,板橋區,埔墘里,122,4.42%
新北市,板橋區,長壽里,51,4.77%
新北市,板橋區,福壽里,52,4.09%
新北市,板橋區,海山里,94,4.06%
新北市,板橋區,九如里,59,5.45%
新北市,板橋區,玉光里,225,9.91%
新北市,板橋區,光仁里,38,4.18%
新北市,板橋區,埤墘里,100,5.78%
新北市,板橋區,永安里,38,2.84%
新北市,板橋區,雙玉里,47,3.50%
新北市,板橋區,廣新里,52,4.61%
新北市,板橋區,深丘里,331,8.60%
新北市,板橋區,香丘里,71,5.23%
新北市,板橋區,西安里,40,4.20%
新北市,板橋區,東丘里,62,4.09%
新北市,板橋區,長安里,81,5.80%
新北市,板橋區,福丘里,203,8.05%
新北市,板橋區,福祿里,126,8.29%
新北市,板橋區,民族里,67,4.66%
新北市,板橋區,國泰里,149,10.10%
新北市,板橋區,福德里,99,5.07%
新北市,板橋區,景星里,491,23.68%
新北市,板橋區,福星里,62,4.57%
新北市,板橋區,鄉雲里,151,8.13%
新北市,板橋區,廣德里,112,4.33%
新北市,板橋區,大豐里,83,5.07%
新北市,板橋區,重慶里,172,5.39%
新北市,板橋區,仁愛里,34,3.22%
新北市,板橋區,和平里,64,3.79%
新北市,板橋區,廣福里,57,3.95%
新北市,板橋區,華興里,151,8.80%
新北市,板橋區,華貴里,21,2.23%
新北市,板橋區,華德里,177,5.64%
新北市,板橋區,華東里,487,12.33%
新北市,板橋區,信義里,90,5.05%
新北市,板橋區,浮洲里,224,17.26%
新北市,板橋區,華中里,50,2.88%
新北市,板橋區,僑中里,74,4.95%
新北市,板橋區,中山里,332,10.55%
新北市,板橋區,復興里,16,4.85%
新北市,板橋區,大安里,73,4.66%
新北市,板橋區,福安里,1016,28.02%
新北市,板橋區,聚安里,83,4.30%
新北市,板橋區,龍安里,46,4.48%
新北市,板橋區,崑崙里,180,4.72%
新北市,板橋區,溪洲里,90,4.09%
新北市,板橋區,溪北里,91,6.51%
新北市,板橋區,香雅里,56,6.19%
新北市,板橋區,新生里,30,2.14%
新北市,板橋區,文德里,40,3.47%
新北市,板橋區,文化里,65,4.96%
新北市,板橋區,新海里,38,3.38%
新北市,板橋區,莒光里,58,4.90%
新北市,板橋區,富貴里,17,2.01%
新北市,板橋區,正泰里,47,4.71%
新北市,板橋區,民生里,36,4.23%
新北市,板橋區,後埔里,133,8.31%
新北市,板橋區,華福里,13,2.00%
新北市,板橋區,堂春里,59,4.41%
新北市,板橋區,成和里,141,4.97%
新北市,板橋區,光榮里,48,5.18%
新北市,板橋區,民安里,29,3.81%
新北市,板橋區,陽明里,30,2.96%
新北市,板橋區,朝陽里,34,2.96%
新北市,板橋區,松柏里,37,3.74%
新北市,板橋區,文聖里,32,2.37%
新北市,板橋區,居仁里,103,8.07%
新北市,板橋區,莊敬里,49,3.19%
新北市,板橋區,東安里,21,3.02%
新北市,板橋區,五權里,69,4.70%
新北市,板橋區,溪福里,189,3.72%
新北市,板橋區,大觀里,68,5.39%
新北市,板橋區,歡園里,12,3.88%
新北市,三重區,大有里,82,4.33%
新北市,三重區,二重里,24,4.58%
新北市,三重區,頂崁里,30,4.62%
新北市,三重區,谷王里,17,6.28%
新北市,三重區,中興里,179,10.72%
新北市,三重區,德厚里,0,0.00%
新北市,三重區,成功里,154,4.93%
新北市,三重區,福祉里,140,5.97%
新北市,三重區,福民里,85,6.68%
新北市,三重區,過田里,152,5.65%
新北市,三重區,錦田里,151,16.27%
新北市,三重區,重明里,141,8.89%
新北市,三重區,光田里,117,5.79%
新北市,三重區,光陽里,127,4.78%
新北市,三重區,田心里,100,6.07%
新北市,三重區,福田里,26,2.20%
新北市,三重區,田中里,119,5.16%
新北市,三重區,田安里,136,5.54%
新北市,三重區,三民里,77,5.88%
新北市,三重區,光明里,143,4.58%
新北市,三重區,光正里,130,7.43%
新北市,三重區,同安里,60,7.31%
新北市,三重區,同慶里,65,7.70%
新北市,三重區,菜寮里,260,20.73%
新北市,三重區,永春里,50,5.99%
新北市,三重區,中正里,49,7.39%
新北市,三重區,吉利里,60,7.69%
新北市,三重區,大同里,91,7.64%
新北市,三重區,中民里,53,8.74%
新北市,三重區,平和里,74,9.40%
新北市,三重區,大安里,48,7.22%
新北市,三重區,仁德里,111,10.46%
新北市,三重區,忠孝里,56,6.58%
新北市,三重區,仁義里,32,4.39%
新北市,三重區,光榮里,77,9.84%
新北市,三重區,光輝里,37,5.48%
新北市,三重區,福星里,126,13.73%
新北市,三重區,福利里,62,5.50%
新北市,三重區,清和里,216,9.64%
新北市,三重區,永興里,64,8.65%
新北市,三重區,中山里,87,6.55%
新北市,三重區,大園里,79,6.42%
新北市,三重區,國隆里,64,5.73%
新北市,三重區,重陽里,55,3.97%
新北市,三重區,民生里,212,11.06%
新北市,三重區,重新里,46,6.81%
新北市,三重區,正德里,50,8.88%
新北市,三重區,正義里,51,6.38%
新北市,三重區,正安里,56,6.23%
新北市,三重區,自強里,41,5.13%
新北市,三重區,文化里,72,6.33%
新北市,三重區,中央里,98,9.27%
新北市,三重區,雙園里,36,7.24%
新北市,三重區,錦通里,39,5.38%
新北市,三重區,錦安里,58,6.77%
新北市,三重區,長安里,72,7.11%
新北市,三重區,光華里,170,15.12%
新北市,三重區,長生里,24,6.27%
新北市,三重區,開元里,58,6.83%
新北市,三重區,大德里,22,6.14%
新北市,三重區,長元里,78,6.86%
新北市,三重區,長江里,71,7.23%
新北市,三重區,長泰里,71,6.92%
新北市,三重區,長福里,60,8.49%
新北市,三重區,介壽里,37,6.75%
新北市,三重區,萬壽里,45,5.08%
新北市,三重區,錦江里,56,5.93%
新北市,三重區,龍濱里,61,4.67%
新北市,三重區,龍門里,26,3.23%
新北市,三重區,秀江里,33,6.07%
新北市,三重區,奕壽里,66,6.29%
新北市,三重區,三安里,96,6.33%
新北市,三重區,福安里,54,4.13%
新北市,三重區,信安里,95,9.14%
新北市,三重區,安慶里,62,5.96%
新北市,三重區,幸福里,128,6.19%
新北市,三重區,六合里,88,5.84%
新北市,三重區,六福里,142,6.95%
新北市,三重區,順德里,45,5.68%
新北市,三重區,承德里,30,4.87%
新北市,三重區,瑞德里,34,3.67%
新北市,三重區,崇德里,89,5.95%
新北市,三重區,厚德里,71,4.76%
新北市,三重區,維德里,34,2.99%
新北市,三重區,尚德里,77,5.91%
新北市,三重區,培德里,82,5.83%
新北市,三重區,永德里,120,6.51%
新北市,三重區,永盛里,59,4.86%
新北市,三重區,永福里,116,6.16%
新北市,三重區,永清里,96,5.34%
新北市,三重區,永安里,65,4.48%
新北市,三重區,永煇里,40,4.20%
新北市,三重區,溪美里,252,6.78%
新北市,三重區,福隆里,74,4.37%
新北市,三重區,五常里,63,4.50%
新北市,三重區,五福里,87,5.09%
新北市,三重區,仁忠里,67,5.43%
新北市,三重區,慈福里,33,3.38%
新北市,三重區,慈生里,32,3.72%
新北市,三重區,慈惠里,46,5.06%
新北市,三重區,慈愛里,56,4.18%
新北市,三重區,慈化里,63,6.65%
新北市,三重區,慈祐里,206,10.74%
新北市,三重區,五華里,91,4.25%
新北市,三重區,富貴里,290,8.88%
新北市,三重區,富華里,73,5.27%
新北市,三重區,富福里,37,4.83%
新北市,三重區,碧華里,259,6.31%
新北市,三重區,五谷里,109,16.88%
新北市,三重區,博愛里,57,3.72%
新北市,三重區,福德里,188,9.32%
新北市,三重區,永吉里,71,6.29%
新北市,三重區,永發里,80,3.86%
新北市,三重區,永順里,98,5.39%
新北市,三重區,永豐里,86,4.41%
新北市,三重區,立德里,41,3.19%
新北市,三重區,福樂里,120,7.73%
新北市,三重區,仁華里,89,4.97%
新北市,三重區,五順里,53,3.57%
新北市,中和區,中原里,522,16.47%
新北市,中和區,平河里,159,3.82%
新北市,中和區,信和里,29,1.89%
新北市,中和區,仁和里,52,3.42%
新北市,中和區,中正里,54,3.50%
