縣市,鄉鎮市區,104宅數,104比率(%)
臺中市,全區,92519,9.47
臺中市,中區,2156,22.28
臺中市,東區,3240,11.50
臺中市,南區,5039,9.08
臺中市,西區,5634,10.39
臺中市,北區,7876,11.13
臺中市,西屯區,10774,10.29
臺中市,南屯區,5116,8.22
臺中市,北屯區,10708,10.54
臺中市,豐原區,3840,7.67
臺中市,東勢區,1433,10.25
臺中市,大甲區,1701,7.92
臺中市,清水區,2243,9.29
臺中市,沙鹿區,3407,11.09
臺中市,梧棲區,1502,8.98
臺中市,后里區,1148,8.08
臺中市,神岡區,1208,6.74
臺中市,潭子區,2581,7.36
臺中市,大雅區,1992,7.17
臺中市,新社區,825,11.65
臺中市,石岡區,315,8.44
臺中市,外埔區,723,8.24
臺中市,大安區,446,8.32
臺中市,烏日區,2027,9.01
臺中市,大肚區,1582,8.89
臺中市,龍井區,2204,9.36
臺中市,霧峰區,1639,7.85
臺中市,太平區,5239,8.66
臺中市,大里區,5423,8.23
臺中市,和平區,498,20.74
