縣市,鄉鎮市區,113H1宅數,113H1比率(%)
臺中市,全區,95566,8.50
臺中市,中區,1891,18.86
臺中市,東區,3485,10.51
臺中市,南區,5042,8.37
臺中市,西區,5875,10.50
臺中市,北區,6744,9.00
臺中市,西屯區,10158,8.75
臺中市,南屯區,6254,8.09
臺中市,北屯區,11032,8.47
臺中市,豐原區,4255,7.70
臺中市,東勢區,1753,11.15
臺中市,大甲區,2019,8.49
臺中市,清水區,2667,8.17
臺中市,沙鹿區,3205,8.67
臺中市,梧棲區,3019,12.95
臺中市,后里區,1490,9.13
臺中市,神岡區,1224,6.22
臺中市,潭子區,2579,6.80
臺中市,大雅區,1899,6.09
臺中市,新社區,916,11.85
臺中市,石岡區,372,9.38
臺中市,外埔區,751,7.73
臺中市,大安區,529,9.30
臺中市,烏日區,2651,8.62
臺中市,大肚區,1579,8.16
臺中市,龍井區,2655,9.59
臺中市,霧峰區,1858,8.25
臺中市,太平區,4788,6.74
臺中市,大里區,4362,6.01
臺中市,和平區,514,18.80
