縣市,鄉鎮市區,109H2宅數,109H2比率(%)
臺中市,全區,88106,8.33
臺中市,中區,2009,20.35
臺中市,東區,2648,8.90
臺中市,南區,4491,7.64
臺中市,西區,5459,9.88
臺中市,北區,7601,10.36
臺中市,西屯區,10600,9.43
臺中市,南屯區,5954,8.39
臺中市,北屯區,9253,7.98
臺中市,豐原區,3905,7.33
臺中市,東勢區,1409,9.39
臺中市,大甲區,1802,7.95
臺中市,清水區,3326,11.54
臺中市,沙鹿區,2728,8.10
臺中市,梧棲區,1720,8.96
臺中市,后里區,1118,7.35
臺中市,神岡區,1127,5.95
臺中市,潭子區,1939,5.32
臺中市,大雅區,1836,6.18
臺中市,新社區,862,11.51
臺中市,石岡區,324,8.34
臺中市,外埔區,754,8.09
臺中市,大安區,494,8.96
臺中市,烏日區,1914,7.33
臺中市,大肚區,1618,8.65
臺中市,龍井區,2219,8.81
臺中市,霧峰區,1526,6.94
臺中市,太平區,4391,6.57
臺中市,大里區,4586,6.49
臺中市,和平區,493,18.55
