縣市,鄉鎮市區,110H2宅數,110H2比率(%)
臺中市,全區,82097,7.65
臺中市,中區,1831,18.59
臺中市,東區,2599,8.56
臺中市,南區,3998,6.80
臺中市,西區,5007,9.06
臺中市,北區,6912,9.34
臺中市,西屯區,9350,8.24
臺中市,南屯區,4847,6.73
臺中市,北屯區,9058,7.60
臺中市,豐原區,3579,6.67
臺中市,東勢區,1349,8.90
臺中市,大甲區,1905,8.25
臺中市,清水區,3004,10.03
臺中市,沙鹿區,2773,8.03
臺中市,梧棲區,1637,8.26
臺中市,后里區,1187,7.70
臺中市,神岡區,1040,5.46
臺中市,潭子區,2077,5.63
臺中市,大雅區,1722,5.70
臺中市,新社區,877,11.63
臺中市,石岡區,321,8.23
臺中市,外埔區,676,7.25
臺中市,大安區,495,8.93
臺中市,烏日區,2099,7.62
臺中市,大肚區,1405,7.41
臺中市,龍井區,1940,7.59
臺中市,霧峰區,1577,7.15
臺中市,太平區,4400,6.50
臺中市,大里區,3968,5.57
臺中市,和平區,464,17.22
