縣市,鄉鎮市區,111H2宅數,111H2比率(%)
臺中市,全區,88315,8.07
臺中市,中區,1975,19.75
臺中市,東區,2906,9.33
臺中市,南區,4524,7.63
臺中市,西區,5085,9.17
臺中市,北區,7187,9.67
臺中市,西屯區,9476,8.26
臺中市,南屯區,5313,7.21
臺中市,北屯區,10891,8.71
臺中市,豐原區,4178,7.66
臺中市,東勢區,1484,9.64
臺中市,大甲區,1896,8.09
臺中市,清水區,2720,8.68
臺中市,沙鹿區,2964,8.35
臺中市,梧棲區,1656,8.08
臺中市,后里區,1233,7.87
臺中市,神岡區,1132,5.86
臺中市,潭子區,1957,5.29
臺中市,大雅區,1811,5.90
臺中市,新社區,925,12.16
臺中市,石岡區,334,8.51
臺中市,外埔區,741,7.85
臺中市,大安區,556,9.87
臺中市,烏日區,3569,12.04
臺中市,大肚區,1501,7.83
臺中市,龍井區,2037,7.81
臺中市,霧峰區,1642,7.36
臺中市,太平區,4213,6.12
臺中市,大里區,3924,5.46
臺中市,和平區,485,17.86
