縣市,鄉鎮市區,111H1宅數,111H1比率(%)
臺中市,全區,94851,8.77
臺中市,中區,2069,20.83
臺中市,東區,2931,9.59
臺中市,南區,5347,9.08
臺中市,西區,6430,11.62
臺中市,北區,7842,10.58
臺中市,西屯區,11154,9.77
臺中市,南屯區,5774,7.99
臺中市,北屯區,10753,8.77
臺中市,豐原區,3975,7.38
臺中市,東勢區,1643,10.72
臺中市,大甲區,2006,8.62
臺中市,清水區,3536,11.62
臺中市,沙鹿區,2924,8.39
臺中市,梧棲區,1908,9.35
臺中市,后里區,1252,8.05
臺中市,神岡區,1130,5.88
臺中市,潭子區,2458,6.64
臺中市,大雅區,1825,6.00
臺中市,新社區,938,12.38
臺中市,石岡區,383,9.79
臺中市,外埔區,642,6.85
臺中市,大安區,527,9.46
臺中市,烏日區,2583,9.31
臺中市,大肚區,1614,8.48
臺中市,龍井區,2374,9.23
臺中市,霧峰區,1714,7.70
臺中市,太平區,4360,6.39
臺中市,大里區,4244,5.93
臺中市,和平區,515,19.04
