縣市,鄉鎮市區,110H1宅數,110H1比率(%)
臺中市,全區,89266,8.39
臺中市,中區,1872,18.97
臺中市,東區,2979,9.83
臺中市,南區,5074,8.64
臺中市,西區,6194,11.20
臺中市,北區,7212,9.83
臺中市,西屯區,10735,9.52
臺中市,南屯區,5652,7.94
臺中市,北屯區,9609,8.19
臺中市,豐原區,3850,7.19
臺中市,東勢區,1395,9.24
臺中市,大甲區,1857,8.14
臺中市,清水區,3213,11.08
臺中市,沙鹿區,2490,7.33
臺中市,梧棲區,1847,9.44
臺中市,后里區,1123,7.33
臺中市,神岡區,1106,5.82
臺中市,潭子區,2392,6.53
臺中市,大雅區,1988,6.60
臺中市,新社區,886,11.80
臺中市,石岡區,353,9.06
臺中市,外埔區,681,7.30
臺中市,大安區,466,8.42
臺中市,烏日區,1958,7.46
臺中市,大肚區,1525,8.12
臺中市,龍井區,2322,9.14
臺中市,霧峰區,1512,6.85
臺中市,太平區,4145,6.18
臺中市,大里區,4339,6.10
臺中市,和平區,491,18.43
