縣市,鄉鎮市區,108宅數,108比率(%)
臺中市,全區,87727,8.44
臺中市,中區,1984,20.27
臺中市,東區,2538,8.63
臺中市,南區,4558,7.83
臺中市,西區,5403,9.82
臺中市,北區,8029,10.97
臺中市,西屯區,10544,9.49
臺中市,南屯區,6692,9.66
臺中市,北屯區,9451,8.46
臺中市,豐原區,3883,7.39
臺中市,東勢區,1392,9.39
臺中市,大甲區,1819,8.13
臺中市,清水區,2652,9.79
臺中市,沙鹿區,2652,8.02
臺中市,梧棲區,1567,8.39
臺中市,后里區,1172,7.76
臺中市,神岡區,1163,6.17
臺中市,潭子區,1913,5.32
臺中市,大雅區,1709,5.80
臺中市,新社區,881,11.90
臺中市,石岡區,344,8.88
臺中市,外埔區,710,7.69
臺中市,大安區,483,8.79
臺中市,烏日區,2049,8.12
臺中市,大肚區,1336,7.30
臺中市,龍井區,2015,8.14
臺中市,霧峰區,1608,7.38
臺中市,太平區,4191,6.40
臺中市,大里區,4507,6.51
臺中市,和平區,482,18.49
