縣市,鄉鎮市區,100宅數,100比率(%)
臺中市,全區,87257,9.41
臺中市,中區,2273,23.84
臺中市,東區,3048,11.49
臺中市,南區,4821,9.23
臺中市,西區,5804,10.98
臺中市,北區,8299,11.98
臺中市,西屯區,10538,10.84
臺中市,南屯區,4787,8.37
臺中市,北屯區,8388,9.13
臺中市,豐原區,3757,7.68
臺中市,東勢區,1526,10.92
臺中市,大甲區,1730,8.05
臺中市,清水區,2216,9.37
臺中市,沙鹿區,2462,9.16
臺中市,梧棲區,1447,9.04
臺中市,后里區,1130,7.89
臺中市,神岡區,1146,6.50
臺中市,潭子區,2253,6.63
臺中市,大雅區,1797,6.78
臺中市,新社區,727,11.15
臺中市,石岡區,302,8.17
臺中市,外埔區,760,8.67
臺中市,大安區,426,7.85
臺中市,烏日區,1649,8.11
臺中市,大肚區,1705,9.57
臺中市,龍井區,2282,9.92
臺中市,霧峰區,1713,8.41
臺中市,太平區,4642,8.29
臺中市,大里區,5164,8.28
臺中市,和平區,465,19.15
